Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,3688.714285714286,3861.285714285714,7288.428571428572,4084.0
Parsing times ,463.0,509.57142857142856,612.0,470.57142857142856
Service times ,26350.714285714286,26259.85714285714,38964.71428571428,26762.285714285714
Throughput ,21204.428571428572,21316.14285714286,16649.0,20660.428571428572
Times in get ,23859.428571428572,23746.714285714286,35136.28571428572,24146.85714285714
Times in set ,45177.142857142855,44740.57142857143,69223.42857142857,46786.57142857143
Times in mget ,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0
Number of gets ,19276.714285714286,19378.285714285714,15135.42857142857,18782.285714285714
Number of sets ,1927.7142857142858,1937.857142857143,1513.5714285714287,1878.142857142857
Number of mgets ,0.0,0.0,0.0,0.0
std Times in queue ,212.46075267816272,261.21811721606286,5216.237208855404,677.1814134090412
std Parsing times ,12.013880860626733,12.394315133118393,209.70375930504122,18.963624327091264
std Service times ,642.3663841053417,349.9868705020369,19834.688491918107,1243.7439064220193
std Throughput ,504.18113713983695,336.87011768703405,5001.464118968897,1026.9645980822736
std Times in get ,596.4852211476987,379.0091090751049,17825.519026705188,1094.6779478567244
std Times in set ,1313.1036299002233,609.3736831487603,37404.97739542668,2882.4547326392285
std Times in mget ,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0
std Number of gets ,458.41128341469164,306.60273660754905,4546.647807529663,933.7975716191946
std Number of sets ,45.77012958147226,30.267851875262917,454.81676059077427,93.16728426407447
std Number of mgets ,0.0,0.0,0.0,0.0
