Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,90428.22727272728,109810.75,124687.16,784025.9,4852135.82,1.404124036E7,3.0868252098039217E7
Parsing times ,6154.454545454545,6711.153846153846,6251.6,6509.46,6623.26,6940.06,7010.745098039216
Service times ,2468951.3181818184,2535679.4423076925,2578632.94,2755218.38,2925579.18,3028444.86,2906371.843137255
Throughput ,602.1363636363636,836.2115384615385,1732.58,2755.78,2746.08,2670.22,2762.9411764705883
Times in get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Times in set ,2460750.5,2526888.4615384615,2569931.14,2746082.58,2916304.62,3018685.08,2896974.68627451
Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queue lengths ,1.0,0.9803921568627451,1.0,2.0,12.0,36.0,83.45098039215686
Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of sets ,602.1363636363636,836.2115384615385,1732.58,2755.78,2746.08,2670.22,2762.9411764705883
Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrival rate ,602.1363636363636,836.1923076923077,1732.58,2755.74,2746.24,2670.24,2761.529411764706
std Times in queue ,22498.329688121546,35591.59253491713,21739.547614991665,94556.87084700694,288214.137615872,1468509.91235386,2483088.302547473
std Parsing times ,975.0207190605761,1575.587999603552,335.9176891405855,1036.6925273804816,1080.731513600763,759.2207447005602,1476.8276249195403
std Service times ,110928.05971885192,382262.39066822774,129755.8170453979,190281.08778801805,162481.70299008678,340511.50602268515,190576.00017351317
std Throughput ,21.70208560209178,132.3019921208874,82.67494499914858,184.55885516660575,150.1563593222011,254.70681745321008,171.37822636084266
std Times in get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Times in set ,110820.50968925253,380897.47604610433,129658.24891881846,189762.66558553115,162357.38515208996,340152.977773167,190389.77095406046
std Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Queue lengths ,0.0,0.14002800840280097,0.0,0.0,0.20203050891044214,0.20203050891044214,4.211003326952835
std Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Number of sets ,21.70208560209178,132.3019921208874,82.67494499914858,184.55885516660575,150.1563593222011,254.70681745321008,171.37822636084266
std Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Arrival rate ,21.66035539115173,132.27986351901544,82.4883640526446,184.51157919529837,149.7472101201739,253.96404694928208,172.83591674662722
Thread 0 ,2433925.0,2513570.9423076925,2576719.56,2754753.34,2927543.0,3022422.44,2900114.8039215687
Thread std 0 ,136099.38490606606,385021.90719084925,147006.4473903545,195566.42521979427,162746.46863343322,340827.7676957314,196972.76090454942
Thread 1 ,2447745.5454545454,2538504.0,2581383.18,2758746.32,2922097.64,3026673.18,2901808.4509803923
Thread std 1 ,157940.0248330351,392766.10235400015,140862.20943896967,195603.22845781458,168057.07238532064,352003.8409729383,188462.67042046433
Thread 2 ,2440300.9545454546,2535874.519230769,2586147.58,2753593.8,2922410.6,3035716.22,2903299.8235294116
Thread std 2 ,166753.23440297935,388966.7105220355,138547.41720069438,191402.97839354113,160894.026409704,334992.7040838346,192340.31627536705
Thread 3 ,2482641.0,2550080.9423076925,2566765.26,2757184.98,2925056.12,3036891.88,2908099.7843137253
Thread std 3 ,136298.08599326908,393129.73091331695,142550.13221946923,187182.59434055514,159394.60612806192,356944.96425523225,192011.2083216304
Thread 4 ,2486286.272727273,2536979.4423076925,2566071.74,2751648.28,2938301.9,3021545.48,2908295.274509804
Thread std 4 ,147503.61072099762,399465.3092416732,141104.78119682724,190982.4940469932,165184.04280201637,333256.1036252437,192958.7312647011
Thread 5 ,2508482.5454545454,2533504.3076923075,2588455.82,2756395.92,2926546.4,3025552.48,2912502.9607843137
Thread std 5 ,187426.04807604145,401388.5434015539,140639.7390954793,197895.31489889353,167655.97502344265,339776.1311257536,193092.0587011243
Thread 6 ,2503988.590909091,2553329.4423076925,2577313.46,2755385.22,2917622.38,3031914.7,2910094.8039215687
Thread std 6 ,155329.9873506352,395819.0264826875,148006.1600968717,193372.1856944704,163670.41284288,339582.92851692747,192662.88860172522
Thread 7 ,2447848.9545454546,2522924.153846154,2587218.18,2755083.2,2926950.38,3029586.3,2908649.9607843137
Thread std 7 ,154328.36370096356,383492.2368497374,140241.33048932443,182707.63342486348,169224.10915222115,340723.89773924346,190181.61828220525
