Configuration : nrThreads: 8 ,nrServers: 1 ,read sharded: true
Times in queue ,22252.68,31197.22,126154.02,1464942.98,6138351.46,1.555258758E7
Parsing times ,2877.9,2831.34,3556.16,3079.7,2914.64,2915.74
Service times ,2283224.04,2266677.84,2276980.62,2396543.82,2332591.44,2353491.58
Throughput ,642.02,1268.6,2430.7,3330.78,3436.62,3421.8
Times in get ,2279125.16,2262665.08,2272128.94,2392399.28,2328563.68,2349477.28
Times in set ,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
Number of gets ,642.02,1268.6,2430.7,3330.78,3436.62,3421.8
Number of sets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of misses get ,41.9,82.62,156.46,216.6,217.18367346938774,236.6530612244898
Arrival rate ,642.02,1268.6,2430.8,3330.94,3436.7,3421.96
std Times in queue ,26452.44540791599,9914.959183157207,14168.046866805602,69223.03627111013,172367.75372917415,486775.50912397157
std Parsing times ,164.6270057445259,247.06576915006715,989.7355111547812,787.4416402087801,336.09854968749977,539.0001631895555
std Service times ,84983.63739770914,68892.47154194392,91933.63926510318,70732.5521154359,56023.425820086864,74477.32643826192
std Throughput ,31.814186285045736,50.87800535173749,99.72149994369522,96.34955280918854,79.57717086230812,107.86083248183037
std Times in get ,85069.09313199717,68914.58041687756,91752.96536506075,70779.43786561929,56104.22384929895,74243.37037317864
std Times in set ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of gets ,31.814186285045736,50.87800535173749,99.72149994369522,96.34955280918854,79.57717086230812,107.86083248183037
std Number of sets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of misses get ,7.453940198968323,16.610655542482977,24.48257189370864,44.168970547021736,59.30383400667411,79.15768835590349
std Arrival rate ,31.793652299328752,50.84630703183379,99.77546219959524,96.61461629397829,80.48456563914878,107.50528416058896
Thread 0 ,2272426.06,2258636.7,2278343.92,2397532.94,2331932.1,2353938.52
Thread std 0 ,79803.07218356384,73582.25196343345,94171.45358569363,72537.10239493627,57530.03704232978,75317.03866940178
Thread 1 ,2287152.0,2277400.38,2276449.5,2396391.1,2333462.16,2353153.42
Thread std 1 ,113209.87320991082,88229.84713684722,94921.79900237321,71552.57225349649,55937.90489657952,74637.39165064544
Thread 2 ,2288239.78,2262295.56,2275612.5,2395862.84,2331092.46,2353775.52
Thread std 2 ,133119.26493589522,73276.67274444387,91734.14194162011,70852.49839454773,55402.75681058347,74624.75432106416
Thread 3 ,2283349.32,2263253.0,2275944.34,2397041.28,2331387.72,2354272.3
Thread std 3 ,99634.67592311259,77973.9428077072,88941.08359931769,69111.01342576541,53980.51987486613,73893.70826168671
Thread 4 ,2292247.82,2267480.22,2280052.12,2395917.08,2332564.98,2353030.5
Thread std 4 ,102220.80705156391,71668.10772547724,96467.43835090318,72513.15935093915,57454.93037918629,75558.63316150375
Thread 5 ,2295472.84,2267184.84,2277264.76,2396338.4,2333259.86,2352729.54
Thread std 5 ,107624.71250626181,75787.03753452562,94531.98192417555,72152.97911396596,57569.02088975014,74439.63665408533
Thread 6 ,2278879.56,2268416.56,2277158.04,2396366.54,2333429.9,2353115.98
Thread std 6 ,140198.20299863815,79542.15466006509,92241.5063309487,70765.65219237829,57903.745383513626,74845.92112084776
Thread 7 ,2269026.5,2268781.0,2275097.42,2397039.66,2333768.68,2353922.24
Thread std 7 ,93295.2996432318,84732.72909639137,94634.19201801023,69033.51843455082,56483.915270303776,74272.21123967579
