Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Times in queue ,9318414.490196079,2.3065494529411763E7
Parsing times ,5142.823529411765,5092.431372549019
Service times ,3804223.5490196077,3589218.470588235
Throughput ,8634.313725490196,8995.882352941177
Times in get ,0.0,0.0
Times in set ,3797297.31372549,3582184.3725490198
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,0.0,0.0
Number of sets ,8634.313725490196,8995.882352941177
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,8633.43137254902,8993.588235294117
std Times in queue ,2074187.8189996718,2538784.0291568744
std Parsing times ,2261.7174598599386,1627.8527237425621
std Service times ,813166.7913868178,312882.6868685676
std Throughput ,994.7394330214535,747.883029545632
std Times in get ,0.0,0.0
std Times in set ,812311.6964799284,312445.0639485899
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,0.0,0.0
std Number of sets ,994.7394330214535,747.883029545632
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,998.5174461150283,744.1008043664674
Thread 0 ,3805200.3725490198,3576874.7843137253
Thread std 0 ,782569.0177942892,320385.905796701
Thread 1 ,3799487.0196078434,3590987.0588235296
Thread std 1 ,782243.2034389685,325788.5920704046
Thread 2 ,3828176.431372549,3580529.0784313725
Thread std 2 ,813310.4707579572,314275.9386703248
Thread 3 ,3824807.862745098,3595433.294117647
Thread std 3 ,893703.4647897034,310920.2738392139
Thread 4 ,3813956.5098039214,3597813.4901960786
Thread std 4 ,891259.0608186685,340092.32756605215
Thread 5 ,3796323.725490196,3562828.529411765
Thread std 5 ,884731.502097401,312250.7763294979
Thread 6 ,3823333.5490196077,3572307.5490196077
Thread std 6 ,825480.6109332263,302151.34376999305
Thread 7 ,3821011.4901960786,3584571.7843137253
Thread std 7 ,804991.0465143416,313018.0596318566
Thread 8 ,3800604.4901960786,3604087.0392156863
Thread std 8 ,815750.7131870218,326880.4602572605
Thread 9 ,3793468.2352941176,3580848.529411765
Thread std 9 ,755329.7158964048,329245.84912665817
Thread 10 ,3797585.156862745,3584881.3921568627
Thread std 10 ,810189.9904761444,309553.14923644875
Thread 11 ,3804452.274509804,3600022.568627451
Thread std 11 ,780759.1963078008,343636.26217023464
Thread 12 ,3817763.725490196,3594865.0588235296
Thread std 12 ,809979.3272420496,343557.78894214646
Thread 13 ,3822099.0784313725,3574626.4509803923
Thread std 13 ,818845.5388050873,307190.9477498524
Thread 14 ,3816417.5490196077,3591174.588235294
Thread std 14 ,824573.6105796089,316857.23502058
Thread 15 ,3787589.0196078434,3607667.2156862747
Thread std 15 ,792648.8945240886,317868.608651456
Thread 16 ,3814068.1960784313,3562496.862745098
Thread std 16 ,835399.911187475,299705.5107155703
Thread 17 ,3805623.9411764704,3592594.31372549
Thread std 17 ,785318.7813523732,330149.22976148163
Thread 18 ,3793145.0392156863,3588571.3725490198
Thread std 18 ,789613.7508022251,326506.02822201984
Thread 19 ,3805505.4901960786,3598169.705882353
Thread std 19 ,841303.9506393244,319596.4709108218
Thread 20 ,3800677.098039216,3603814.0196078434
Thread std 20 ,843158.4363467225,327199.02141916566
Thread 21 ,3790472.9411764704,3609134.6470588236
Thread std 21 ,803123.871764136,330224.5318711997
Thread 22 ,3792637.274509804,3601392.3333333335
Thread std 22 ,824714.476785271,339298.5624059534
Thread 23 ,3789152.68627451,3615612.901960784
Thread std 23 ,792802.8876162219,328130.54892620136
Thread 24 ,3792604.431372549,3589904.882352941
Thread std 24 ,779860.1770302996,317298.6730134652
Thread 25 ,3815659.6078431373,3585526.117647059
Thread std 25 ,884873.1749430328,324733.9116447586
Thread 26 ,3826735.0196078434,3598771.5490196077
Thread std 26 ,861437.3310367616,350560.4366268569
Thread 27 ,3834454.568627451,3591075.470588235
Thread std 27 ,819083.7203295461,322575.45269225637
Thread 28 ,3797012.431372549,3584045.725490196
Thread std 28 ,901313.4979037483,331937.24158804957
Thread 29 ,3808478.470588235,3589992.862745098
Thread std 29 ,785350.6578094998,320674.2678721833
Thread 30 ,3805407.5098039214,3597810.6470588236
Thread std 30 ,765659.1874696567,333891.05674491037
Thread 31 ,3786178.7647058824,3603994.8235294116
Thread std 31 ,821732.0370776252,314145.03315301397
