Configuration : nrThreads: 64 ,nrServers: 1 ,read sharded: true
Times in queue ,3057169.6666666665,1.3296281134615384E7
Parsing times ,4549.392156862745,4897.5
Service times ,5402922.94117647,5535770.230769231
Throughput ,11444.64705882353,11433.634615384615
Times in get ,5396425.960784313,5528933.019230769
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,11444.64705882353,11433.634615384615
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,548.72,605.7254901960785
Arrival rate ,11444.176470588236,11430.173076923076
std Times in queue ,415413.2569591233,2344872.447231234
std Parsing times ,1192.7199684491138,1267.3561874557417
std Service times ,548968.3814882388,610175.4687254948
std Throughput ,912.110976220096,973.9762051457136
std Times in get ,548992.1575298853,609776.5710652852
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,912.110976220096,973.9762051457136
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,116.35660177020556,156.86288004896159
std Arrival rate ,914.6758268563208,981.2467004296485
Thread 0 ,5373330.823529412,5598654.557692308
Thread std 0 ,634773.7620240366,743259.3573527139
Thread 1 ,5370667.392156863,5577044.461538462
Thread std 1 ,574446.8409536631,645293.0585449775
Thread 2 ,5470541.196078432,5505093.942307692
Thread std 2 ,627315.0880521213,649058.708909624
Thread 3 ,5363905.549019608,5548982.769230769
Thread std 3 ,551880.8972144013,611097.070003584
Thread 4 ,5394623.392156863,5641222.173076923
Thread std 4 ,589320.6248585936,691056.7375545357
Thread 5 ,5439669.470588235,5531301.211538462
Thread std 5 ,656436.9175616299,751905.2986554691
Thread 6 ,5383763.960784313,5585238.423076923
Thread std 6 ,826683.9572138063,632184.3014324704
Thread 7 ,5465853.215686275,5462302.923076923
Thread std 7 ,580875.6296393338,582703.8207420358
Thread 8 ,5425862.294117647,5561790.615384615
Thread std 8 ,529414.2833179813,649154.560647446
Thread 9 ,5469442.05882353,5562528.865384615
Thread std 9 ,608406.1291756489,732379.6689661328
Thread 10 ,5389379.31372549,5552369.788461538
Thread std 10 ,575131.7148365752,697658.5460901915
Thread 11 ,5399390.31372549,5594400.865384615
Thread std 11 ,593563.7113132672,632501.4968788
Thread 12 ,5459496.411764706,5583291.326923077
Thread std 12 ,621135.7237875205,624653.9855676562
Thread 13 ,5418535.31372549,5526200.442307692
Thread std 13 ,680028.8545970529,703319.3377287674
Thread 14 ,5406704.980392157,5531983.384615385
Thread std 14 ,579687.9973501777,686827.822316714
Thread 15 ,5412608.509803922,5568243.980769231
Thread std 15 ,590351.8405656875,711737.6131093313
Thread 16 ,5416606.37254902,5514496.846153846
Thread std 16 ,594433.3103732651,675503.7826107467
