Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Times in queue ,8531224.52,2.3810188769230768E7
Parsing times ,4848.22,5198.403846153846
Service times ,3455713.02,3765682.730769231
Throughput ,9409.86,8529.442307692309
Times in get ,0.0,0.0
Times in set ,3449225.7,3758411.6346153845
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,0.0,0.0
Number of sets ,9409.86,8529.442307692309
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,9410.82,8525.596153846154
std Times in queue ,984331.5239776759,3876497.9640542986
std Parsing times ,1165.171937737,1988.6427557962731
std Service times ,421518.5644363353,319296.77870577853
std Throughput ,932.6418261682066,700.6800453973979
std Times in get ,0.0,0.0
std Times in set ,421246.8209759413,319013.4532967456
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,0.0,0.0
std Number of sets ,932.6418261682066,700.6800453973979
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,931.9468910593038,702.9577361466664
Thread 0 ,3460470.18,3777141.519230769
Thread std 0 ,423896.1874567342,352091.56777042925
Thread 1 ,3454490.6,3758785.8076923075
Thread std 1 ,402539.01658728835,304562.74634256726
Thread 2 ,3443719.28,3787641.403846154
Thread std 2 ,430604.08907013416,394793.0962090445
Thread 3 ,3443935.02,3781518.3846153845
Thread std 3 ,421013.3453513538,325369.9314675862
Thread 4 ,3449893.22,3747920.769230769
Thread std 4 ,431667.4599717009,345303.9751893301
Thread 5 ,3465580.84,3767731.6346153845
Thread std 5 ,404878.6924569473,326196.24282619
Thread 6 ,3451386.9,3758193.0576923075
Thread std 6 ,443297.02945345244,339624.564923082
Thread 7 ,3468851.7,3792054.3653846155
Thread std 7 ,412243.24741694354,364044.01613686763
Thread 8 ,3463531.48,3785026.6923076925
Thread std 8 ,442565.09981780587,352203.7485731824
Thread 9 ,3458152.86,3763626.3846153845
Thread std 9 ,419432.70113075007,337354.00481528003
Thread 10 ,3456064.74,3728119.596153846
Thread std 10 ,430931.76910048514,333718.14492996986
Thread 11 ,3462056.62,3760071.903846154
Thread std 11 ,424996.5876976047,332685.15402900724
Thread 12 ,3452625.12,3747660.3076923075
Thread std 12 ,415076.38981447,325580.9899232351
Thread 13 ,3466769.68,3754638.846153846
Thread std 13 ,427604.069066302,306934.46660959575
Thread 14 ,3445463.58,3765325.346153846
Thread std 14 ,429926.18974163313,323073.798817041
Thread 15 ,3451603.34,3749627.7884615385
Thread std 15 ,423777.0777088991,334507.5072450651
Thread 16 ,3445142.58,3788494.519230769
Thread std 16 ,409444.5331180884,341203.3652434145
Thread 17 ,3474724.58,3744705.5576923075
Thread std 17 ,451619.3924086461,334191.02128475806
Thread 18 ,3443895.58,3770043.596153846
Thread std 18 ,450378.3680633787,335332.4400057446
Thread 19 ,3467338.8,3768205.8846153845
Thread std 19 ,419447.0759878718,341956.3991518339
Thread 20 ,3457778.08,3780183.576923077
Thread std 20 ,447928.43239170633,308287.7023067612
Thread 21 ,3469766.32,3757837.096153846
Thread std 21 ,420928.41020260367,334801.60377741884
Thread 22 ,3457581.84,3782111.2115384615
Thread std 22 ,416942.3282289702,350506.0857660432
Thread 23 ,3441343.86,3763439.2884615385
Thread std 23 ,455596.80009573145,339919.3606166798
Thread 24 ,3484048.86,3783352.769230769
Thread std 24 ,421611.3578816594,371581.1252637295
Thread 25 ,3464715.48,3778436.0
Thread std 25 ,412361.17549507896,342321.39930463355
Thread 26 ,3461969.92,3771399.0576923075
Thread std 26 ,433202.10404466896,343502.66524281615
Thread 27 ,3470492.4,3802794.653846154
Thread std 27 ,460228.172640884,347342.7167139549
Thread 28 ,3477624.66,3734874.3653846155
Thread std 28 ,449953.5334855216,305898.5226043606
Thread 29 ,3429564.58,3783416.8653846155
Thread std 29 ,398887.2757586109,344315.6781872846
Thread 30 ,3446871.74,3777661.8846153845
Thread std 30 ,418716.9319504921,317126.3712636481
Thread 31 ,3441904.46,3787990.576923077
Thread std 31 ,442234.15233894746,364591.5463879312
