Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.574639356E7,6925210.4
Parsing times ,3263.24,4312.46
Service times ,2439763.34,4813326.28
Throughput ,3297.34,6947.36
Times in get ,0.0,0.0
Times in set ,2435330.18,4806992.98
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.86,44.32
Number of gets ,0.0,0.0
Number of sets ,3297.34,6947.36
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,3297.34,6947.3
std Times in queue ,790912.1129999511,1818970.3579216548
std Parsing times ,794.1676058128089,1285.0400487684324
std Service times ,72775.52270596853,1535833.7384611366
std Throughput ,97.65842388192654,961.1778649985991
std Times in get ,0.0,0.0
std Times in set ,72785.25586500528,1534312.1523821182
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.3505098327538659,1.1506874608915587
std Number of gets ,0.0,0.0
std Number of sets ,97.65842388192654,961.1778649985991
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,98.03302442315558,961.902181161083
Thread 0 ,2439033.76,4791808.96
Thread std 0 ,71522.76824659061,1426622.1600159768
Thread 1 ,2438704.82,4868762.88
Thread std 1 ,73025.75905206466,1652450.933391943
Thread 2 ,2440882.92,4861666.08
Thread std 2 ,73575.64309838146,1633551.6698179254
Thread 3 ,2439527.72,4864527.92
Thread std 3 ,74049.75061321398,1768376.1078277072
Thread 4 ,2440049.74,4781718.2
Thread std 4 ,73307.52243322897,1561650.744776978
Thread 5 ,2439797.58,4861256.3
Thread std 5 ,72899.37176210638,1715235.8943081952
Thread 6 ,2440795.78,4827609.22
Thread std 6 ,76181.17667724885,1612832.3983329898
Thread 7 ,2439583.8,4805635.24
Thread std 7 ,72717.6611916505,1516472.9397196178
