Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.30015127E7,5530353.74
Parsing times ,4327.2,5093.4
Service times ,2201979.38,3899186.1
Throughput ,3718.06,8467.96
Times in get ,2196132.98,3892154.0
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.38,43.08
Number of gets ,3718.06,8467.96
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,689.72,1540.3
Arrival rate ,3718.08,8467.38
std Times in queue ,3712939.4687429806,1138928.4016099647
std Parsing times ,1639.6904013395024,2077.0924831777397
std Service times ,345272.82107075676,828107.2400332456
std Throughput ,443.96076357245437,1111.3701409539856
std Times in get ,345530.088180435,826916.58593402
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.490314351478015,1.468582545816731
std Number of gets ,443.96076357245437,1111.3701409539856
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,160.81235610969398,220.3619703106316
std Arrival rate ,444.17912547777854,1111.9972267253627
Thread 0 ,2205819.7,3899325.58
Thread std 0 ,344292.31412021845,830397.3182592822
Thread 1 ,2204677.58,3902707.02
Thread std 1 ,349011.91190911044,839739.4094156193
Thread 2 ,2203350.02,3902821.64
Thread std 2 ,348527.23728385114,856045.1723560102
Thread 3 ,2205167.7,3893074.12
Thread std 3 ,352622.63522020663,806343.4725207882
Thread 4 ,2203354.68,3882414.94
Thread std 4 ,346337.9339236575,836317.1322793865
Thread 5 ,2195608.26,3901935.82
Thread std 5 ,343413.11826070835,857321.9876847094
Thread 6 ,2200981.26,3886737.98
Thread std 6 ,343192.2241229268,827469.8502407743
Thread 7 ,2198365.48,3915298.16
Thread std 7 ,343710.65361275565,857914.5129315067
