Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.41767517E7,6133015.8
Parsing times ,4044.44,4664.74
Service times ,2289266.66,4139625.2
Throughput ,3532.86,8006.5
Times in get ,2081768.48,3799450.86
Times in set ,2486089.98,4466953.12
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.94,45.1
Number of gets ,1766.44,4003.16
Number of sets ,1766.42,4003.34
Number of mgets ,0.0,0.0
Number of misses get ,459.56,1080.24
Arrival rate ,3532.98,8006.14
std Times in queue ,1982705.8301429353,1672980.5113821775
std Parsing times ,1438.1915679499896,1275.3500969521735
std Service times ,174792.72058041333,1059842.0862847487
std Throughput ,247.6001557811649,1048.304700408216
std Times in get ,157966.83247535067,1079667.4805444614
std Times in set ,197953.23852978047,1048705.0971955578
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.23989793748209554,0.9948848769417226
std Number of gets ,123.983237840065,525.4217105121857
std Number of sets ,123.69615340562106,522.9184823504266
std Number of mgets ,0.0,0.0
std Number of misses get ,108.02232573474268,156.5082719337015
std Arrival rate ,247.7318736547435,1046.3996780018851
Thread 0 ,2286675.3,4130396.38
Thread std 0 ,181090.2802740238,1093573.5526461017
Thread 1 ,2296743.04,4127542.46
Thread std 1 ,178247.02518752578,957536.0627394349
Thread 2 ,2294563.9,4161165.0
Thread std 2 ,171665.25861132136,1052074.1989770415
Thread 3 ,2286777.94,4116375.14
Thread std 3 ,181198.5531386135,1054003.0023605924
Thread 4 ,2286736.0,4141382.18
Thread std 4 ,174281.42117370552,1000318.1374596801
Thread 5 ,2285837.02,4133783.08
Thread std 5 ,178851.46592080258,1042983.8951084458
Thread 6 ,2288587.26,4140822.5
Thread std 6 ,171984.16327078323,1109669.4112426282
Thread 7 ,2289825.4,4143234.24
Thread std 7 ,177766.76288718247,1178608.2785852023
