Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.391274712E7,5984100.0
Parsing times ,4198.66,4550.56
Service times ,2271418.66,4034025.5
Throughput ,3551.98,8012.5
Times in get ,2083816.64,3722698.2
Times in set ,2446005.52,4332682.94
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.84,45.1
Number of gets ,1775.98,4006.28
Number of sets ,1776.0,4006.22
Number of mgets ,0.0,0.0
Number of misses get ,453.54,1062.98
Arrival rate ,3551.98,8012.52
std Times in queue ,1405859.7920696023,392964.55703541613
std Parsing times ,1590.5373576632676,1164.8308304957718
std Service times ,133035.1990458456,286751.5193356721
std Throughput ,201.48514808282815,491.7568359609104
std Times in get ,119497.6046372103,317261.81338215066
std Times in set ,155539.79398700516,276113.16212278855
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.3703280399090207,1.035098339013531
std Number of gets ,100.6737486809217,245.5010736083595
std Number of sets ,100.9554357129917,246.35069494109243
std Number of mgets ,0.0,0.0
std Number of misses get ,104.7229990527976,110.84710742500138
std Arrival rate ,201.1714153833664,490.0319123302489
Thread 0 ,2274700.74,4018902.64
Thread std 0 ,135266.05249063938,281405.1355068397
Thread 1 ,2270587.6,4032791.68
Thread std 1 ,134998.73080401117,318398.6630337047
Thread 2 ,2267682.76,4043034.22
Thread std 2 ,130247.52910305602,310614.6192201474
Thread 3 ,2272339.5,4032972.8
Thread std 3 ,134468.09651336845,309229.4268337979
Thread 4 ,2277508.62,4078992.46
Thread std 4 ,138838.26768227812,287643.9207574936
Thread 5 ,2272071.74,4027656.42
Thread std 5 ,135556.2076481613,326813.9849021084
Thread 6 ,2264996.84,4035231.24
Thread std 6 ,140195.64546213733,298871.1995965964
Thread 7 ,2273205.62,4036492.48
Thread std 7 ,130218.94354429172,273707.58464592043
