Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.483608043137255E7,7454228.215686275
Parsing times ,4965.882352941177,4701.470588235294
Service times ,2374964.1764705884,5073210.843137255
Throughput ,3413.8039215686276,6889.843137254902
Times in get ,2166153.2156862747,4525756.705882353
Times in set ,2571146.1764705884,5606831.196078432
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.45098039215686,45.0
Number of gets ,1706.862745098039,3444.8823529411766
Number of sets ,1706.9411764705883,3444.9607843137255
Number of mgets ,0.0,0.0
Number of misses get ,506.4117647058824,1033.1960784313726
Arrival rate ,3412.627450980392,6888.862745098039
std Times in queue ,3587007.4007518035,3377697.1425380474
std Parsing times ,1758.4389741706573,1398.818935430046
std Service times ,348978.37939968175,2826595.960031892
std Throughput ,311.86830679681725,1311.1433998239706
std Times in get ,352720.91507509525,2489339.763187342
std Times in set ,350214.64358057367,3165796.91712447
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,3.640405062573098,3.746998799039039
std Number of gets ,155.91728827911845,655.5748514718612
std Number of sets ,156.0381250547065,655.596765116617
std Number of mgets ,0.0,0.0
std Number of misses get ,107.90517623739619,224.6014264966136
std Arrival rate ,311.48309493674384,1309.456818984236
Thread 0 ,2368516.2352941176,5122921.509803922
Thread std 0 ,347079.6094280152,3071706.217471439
Thread 1 ,2376063.2352941176,5023528.196078432
Thread std 1 ,347102.9859568822,2738697.1777753234
Thread 2 ,2376745.901960784,5042897.117647059
Thread std 2 ,358971.3737995973,2637897.813990206
Thread 3 ,2378052.568627451,5116004.803921568
Thread std 3 ,361351.003599506,3000569.124159109
Thread 4 ,2374404.843137255,5113341.588235294
Thread std 4 ,342342.9231538676,3016790.730712073
Thread 5 ,2377301.725490196,5083927.843137255
Thread std 5 ,343611.60367601545,3066675.5051071076
Thread 6 ,2372021.098039216,5033835.647058823
Thread std 6 ,341640.24137295387,2631997.957697535
Thread 7 ,2378061.529411765,5087284.274509804
Thread std 7 ,354460.3104038788,2809956.8228920605
