Configuration : nrThreads: 8 ,nrServers: 2 ,read sharded: true
Times in queue ,2.5354669666666668E7,8182851.568627451
Parsing times ,4762.058823529412,4177.411764705882
Service times ,2420388.9215686275,5203516.450980392
Throughput ,3320.8823529411766,6249.254901960784
Times in get ,0.0,0.0
Times in set ,2414022.31372549,5197447.117647059
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.3529411764706,44.94117647058823
Number of gets ,0.0,0.0
Number of sets ,3320.8823529411766,6249.254901960784
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,3319.6862745098038,6248.098039215686
std Times in queue ,1591234.1955076088,1419716.1826072598
std Parsing times ,9696.73755943052,1266.4298192394333
std Service times ,135242.80227410892,698187.5063318826
std Throughput ,175.1265424838649,666.0483418832976
std Times in get ,0.0,0.0
std Times in set ,131547.3694408961,697990.1867621534
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,2.9381867157263146,4.163708754011896
std Number of gets ,0.0,0.0
std Number of sets ,175.1265424838649,666.0483418832976
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,176.76226862043592,667.2159546923909
Thread 0 ,2419000.745098039,5248489.450980392
Thread std 0 ,131936.2576902715,760384.0455840013
Thread 1 ,2419107.2156862747,5204524.2549019605
Thread std 1 ,134010.2659463541,667952.6151534356
Thread 2 ,2418165.3529411764,5178250.294117647
Thread std 2 ,137057.2488046982,734264.4194353502
Thread 3 ,2422594.098039216,5202923.607843137
Thread std 3 ,139970.09353547703,735936.4057193279
Thread 4 ,2423366.588235294,5158037.176470588
Thread std 4 ,139528.64838780262,687221.544403774
Thread 5 ,2418927.6274509802,5164509.9215686275
Thread std 5 ,132668.7842766279,674804.5966773448
Thread 6 ,2419958.9411764704,5202309.725490196
Thread std 6 ,132913.0897050267,728584.7394438914
Thread 7 ,2422496.411764706,5183686.7450980395
Thread std 7 ,138779.92354359853,755554.9742247176
