1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          38.43          ---          ---      2.80300        39.95
Gets         384.30       377.98         6.32      2.31000       397.24
Waits          0.00          ---          ---      0.00000          ---
Totals       422.73       377.98         6.32      2.35500       437.18


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.26
SET       2.100         2.82
SET       2.200        10.93
SET       2.300        20.95
SET       2.400        33.22
SET       2.500        44.41
SET       2.600        52.95
SET       2.700        62.58
SET       2.800        69.77
SET       2.900        75.59
SET       3.000        80.75
SET       3.100        84.22
SET       3.200        87.42
SET       3.300        89.72
SET       3.400        91.37
SET       3.500        92.58
SET       3.600        93.76
SET       3.700        94.58
SET       3.800        94.97
SET       3.900        95.23
SET       4.000        95.62
SET       4.100        95.92
SET       4.200        96.05
SET       4.300        96.23
SET       4.400        96.53
SET       4.500        96.62
SET       4.600        96.96
SET       4.800        97.22
SET       4.900        97.53
SET       5.000        97.75
SET       5.100        97.96
SET       5.200        98.05
SET       5.300        98.18
SET       5.400        98.27
SET       5.500        98.40
SET       5.600        98.44
SET       5.800        98.53
SET       5.900        98.61
SET       6.000        98.66
SET       6.100        98.79
SET       6.400        98.83
SET       6.500        98.92
SET       6.700        98.96
SET       6.800        99.09
SET       7.000        99.13
SET       7.200        99.18
SET       7.300        99.22
SET       7.400        99.31
SET       7.700        99.35
SET       7.900        99.39
SET       8.100        99.48
SET       8.200        99.52
SET       8.300        99.57
SET       8.500        99.61
SET       8.800        99.65
SET       9.300        99.70
SET       9.500        99.78
SET       9.900        99.83
SET      10.000        99.91
SET      11.000        99.96
SET      21.000       100.00
---
GET       0.450         0.00
GET       0.500         0.01
GET       0.530         0.03
GET       0.540         0.04
GET       0.550         0.05
GET       0.560         0.06
GET       0.570         0.08
GET       0.580         0.10
GET       0.590         0.12
GET       0.600         0.18
GET       0.610         0.22
GET       0.620         0.27
GET       0.630         0.32
GET       0.640         0.36
GET       0.650         0.39
GET       0.660         0.43
GET       0.670         0.49
GET       0.680         0.56
GET       0.690         0.63
GET       0.700         0.76
