Configuration : nrThreads: 8 ,nrServers: 1 ,read sharded: true
Times in queue ,16375.86,29456.5,50518.92,182395.24,460972.7659574468,1721477.02
Parsing times ,3677.4,3668.92,3098.1,5756.84,7206.063829787234,5652.32
Service times ,652178.02,669094.46,620734.5,881818.32,1083846.5531914893,976002.38
Throughput ,710.48,1397.5,2825.84,3818.94,5522.978723404255,7291.24
Times in get ,647956.12,664257.4,616483.62,873637.46,1073523.0425531915,968063.08
Times in set ,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
Queue lengths ,0.0,1.0,1.027027027027027,2.14,3.5106382978723403,13.44
Number of gets ,710.48,1397.5,2825.84,3818.94,5522.978723404255,7291.24
Number of sets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of misses get ,2.6341463414634148,4.48936170212766,8.673469387755102,11.76595744680851,17.022222222222222,22.130434782608695
Arrival rate ,710.5,1397.5,2825.84,3818.78,5523.148936170212,7291.4
std Times in queue ,2137.796004185199,8509.624820262798,11129.970494927613,33896.32752460818,61109.23901798383,196075.33340993183
std Parsing times ,4370.867891214394,563.4930722280263,694.185391046842,2680.4842492751654,2339.153120666568,2160.3192077060453
std Service times ,71246.76691826594,143208.8130484408,61529.64599554214,66981.39873934542,80345.03870746915,100751.70139990243
std Throughput ,64.46332290535449,172.376693580646,188.00362132856128,248.8201063140245,332.8339767199323,420.70754590769286
std Times in get ,71233.06397288338,143075.01306058202,61540.11913822179,66584.30466409039,80087.20759814087,99591.37348263018
std Times in set ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
std Queue lengths ,0.0,0.0,0.16439898730535724,0.4522054797526975,0.5052911526399115,0.7329003050503237
std Number of gets ,64.46332290535449,172.376693580646,188.00362132856128,248.8201063140245,332.8339767199323,420.70754590769286
std Number of sets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of misses get ,1.8405990541257975,3.229432178017435,5.683997108483756,6.827733617092566,8.627358409809641,13.85898616726855
std Arrival rate ,64.47029057904841,172.51066219636562,188.02348528949292,249.1365734790819,334.15760267089047,420.04018272308286
Thread 0 ,658347.66,674589.58,622505.42,881350.24,1089284.3404255318,976558.7
Thread std 0 ,90250.1258183554,149363.93111048994,69973.26122639087,77677.48573837276,87524.75754577565,101130.68025392912
Thread 1 ,656518.7,665187.9,619427.82,881573.66,1094539.255319149,977759.72
Thread std 1 ,108222.3393942738,139756.96826966654,65258.07632453768,76888.091580174,91628.29347647843,102646.37798376182
Thread 2 ,658306.16,660972.96,619206.14,882092.2,1080040.829787234,976565.22
Thread std 2 ,96890.0623543772,140231.4833824096,71790.13709588042,75022.9894221547,84560.44100043346,109188.3865575101
Thread 3 ,642400.68,669015.58,616781.7,879199.14,1085275.0425531915,978658.96
Thread std 3 ,81478.97552315981,156189.14787553358,64039.10839965254,82397.59103374124,106863.7844039251,99781.74285541255
Thread 4 ,652365.98,674959.84,622642.86,886375.94,1083340.6170212766,980318.34
Thread std 4 ,90993.54297039827,146318.4903268377,64222.289683601986,82146.69007465131,100513.99354006324,102984.99915385142
Thread 5 ,647606.08,671545.9,618584.28,874079.56,1080405.3617021276,974258.04
Thread std 5 ,78876.71077787362,147373.44803042902,68086.68124756671,66013.8682004171,88906.49348501554,103800.50954614425
Thread 6 ,656750.04,667184.6,626178.34,881451.36,1082527.9361702127,974013.52
Thread std 6 ,86312.52319805449,149829.41740103875,62354.43270877429,84585.18886650333,92890.24459857336,100649.90130559554
Thread 7 ,645043.16,669339.22,620194.82,889218.54,1085516.170212766,973284.94
Thread std 7 ,77461.13084910947,142430.30042872168,67365.5356170122,88823.77375046548,85098.43098342039,104846.17277209272
