Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.033724912E7,4506705.26
Parsing times ,4830.5,4445.54
Service times ,1959795.66,3381257.6
Throughput ,4153.76,9733.68
Times in get ,1952450.58,3374790.1
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,82.88,40.48
Number of gets ,4153.76,9733.68
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,804.66,1842.56
Arrival rate ,4153.8,9733.3
std Times in queue ,2383584.014805279,812566.8352684575
std Parsing times ,2027.21249502858,1173.9095367225548
std Service times ,232186.81044090074,695781.8628109925
std Throughput ,461.0832657548782,1326.3233582397036
std Times in get ,230916.16368629437,695845.0779260336
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.3282607226593159,1.2493263490900255
std Number of gets ,461.0832657548782,1326.3233582397036
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,167.01809873819795,265.53558968197666
std Arrival rate ,460.79337084233845,1325.7094250218777
Thread 0 ,1957430.28,3405459.72
Thread std 0 ,234704.1159878418,681821.6303501887
Thread 1 ,1964654.42,3386808.52
Thread std 1 ,231996.19181912253,720235.8861151331
Thread 2 ,1958115.0,3403888.54
Thread std 2 ,242461.55621341,784253.81726928
Thread 3 ,1964139.74,3399353.4
Thread std 3 ,239546.42645222883,661555.0872438395
Thread 4 ,1962084.68,3366934.94
Thread std 4 ,231665.33936275143,696005.6458648972
Thread 5 ,1959975.92,3376259.56
Thread std 5 ,245129.8084335876,725604.702793615
Thread 6 ,1962679.72,3397832.32
Thread std 6 ,233709.25822247518,663868.1768955877
Thread 7 ,1956107.36,3363427.54
Thread std 7 ,230826.85930683976,681119.5816580591
