Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.619096972E7,7384376.02
Parsing times ,3450.54,5119.48
Service times ,2484258.2,5035721.18
Throughput ,3241.52,6425.82
Times in get ,0.0,0.0
Times in set ,2479299.02,5027887.68
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.92,44.86
Number of gets ,0.0,0.0
Number of sets ,3241.52,6425.82
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,3241.6,6425.56
std Times in queue ,798530.459725763,677788.3246008628
std Parsing times ,757.0919716054239,1634.8834101849461
std Service times ,76775.70796249852,369102.4593327125
std Throughput ,98.0092123949872,432.1066426384173
std Times in get ,0.0,0.0
std Times in set ,76525.3630737615,368127.03012679896
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.2740475156178697,0.9899494936611664
std Number of gets ,0.0,0.0
std Number of sets ,98.0092123949872,432.1066426384173
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,97.1710043255325,432.5239717315666
Thread 0 ,2484829.34,5107468.46
Thread std 0 ,76375.02249322893,427041.39010530326
Thread 1 ,2485116.04,5018188.18
Thread std 1 ,78312.11303103833,421873.71010846505
Thread 2 ,2485534.54,5080637.5
Thread std 2 ,79022.60636955188,462321.49411095935
Thread 3 ,2483629.32,5045269.42
Thread std 3 ,76649.3570026254,416377.03524982283
Thread 4 ,2483165.76,5054796.0
Thread std 4 ,76512.87527334395,411237.05500737997
Thread 5 ,2483345.8,5020509.4
Thread std 5 ,77059.99205998996,456011.1002564096
Thread 6 ,2486076.86,5061789.26
Thread std 6 ,76125.41809007135,469508.90743378416
Thread 7 ,2482659.46,5033511.62
Thread std 7 ,79086.65737469532,373185.5981462181
