Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.339212096E7,6401442.68627451
Parsing times ,4643.4,5470.235294117647
Service times ,2229758.34,4477107.960784313
Throughput ,3618.54,7233.745098039216
Times in get ,1769085.34,3607563.411764706
Times in set ,2678118.1,5330523.235294118
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.44,43.78431372549019
Number of gets ,1809.4,3616.8039215686276
Number of sets ,1809.14,3616.9411764705883
Number of mgets ,0.0,0.0
Number of misses get ,499.48,1015.3725490196078
Arrival rate ,3618.6,7232.509803921569
std Times in queue ,1433742.6820485303,963040.6491729306
std Parsing times ,1830.62815136538,1855.8496877520581
std Service times ,142584.57267761315,617350.7047132272
std Throughput ,209.08871371760273,829.4901769915605
std Times in get ,119753.91906017021,572394.003337847
std Times in set ,170006.02256009664,679491.1908828425
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.5014265364224072,3.4889180299353324
std Number of gets ,104.18096500507065,414.7587259893561
std Number of sets ,105.03099833975158,414.7588895618613
std Number of mgets ,0.0,0.0
std Number of misses get ,103.82269815922346,136.9688958536665
std Arrival rate ,208.45358706240506,826.0856704373712
Thread 0 ,2224383.92,4447038.803921568
Thread std 0 ,149033.57716612806,645723.502975384
Thread 1 ,2229472.4,4473869.862745098
Thread std 1 ,135620.75030159415,652150.7818483396
Thread 2 ,2236545.98,4472362.176470588
Thread std 2 ,159277.67789445125,603478.7262167145
Thread 3 ,2232309.66,4497568.196078432
Thread std 3 ,143760.59156659007,656504.6930773006
Thread 4 ,2229872.8,4445431.568627451
Thread std 4 ,149827.6300790413,598064.4800991698
Thread 5 ,2228078.0,4512052.176470588
Thread std 5 ,147987.18029958004,664257.1104481969
Thread 6 ,2236346.26,4468906.0784313725
Thread std 6 ,150392.81340499554,625993.6040607075
Thread 7 ,2226862.24,4483144.9215686275
Thread std 7 ,150782.4018486486,658628.5484704362
