Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.326170234E7,6353226.98
Parsing times ,4121.64,5436.16
Service times ,2223003.78,4508064.12
Throughput ,3675.78,7252.7
Times in get ,1777740.86,3637231.26
Times in set ,2657031.52,5364475.2
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.24,43.62
Number of gets ,1837.88,3626.34
Number of sets ,1837.9,3626.36
Number of mgets ,0.0,0.0
Number of misses get ,502.44,1015.1
Arrival rate ,3675.84,7252.28
std Times in queue ,4061405.0043037036,985253.121371739
std Parsing times ,1575.6735619656602,3189.601787953206
std Service times ,340172.57641807315,839445.6305185948
std Throughput ,417.65796425070215,893.7134921900022
std Times in get ,293715.5432410552,723414.7788948059
std Times in set ,390704.749578546,970598.7886410687
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.47638091430094454,1.7830265487281414
std Number of gets ,208.69699155884894,447.42654670222413
std Number of sets ,208.99938970714524,446.3273146881498
std Number of mgets ,0.0,0.0
std Number of misses get ,113.04399721401597,145.49118074120295
std Arrival rate ,417.8004777207339,894.4566025680346
Thread 0 ,2224902.54,4492666.64
Thread std 0 ,332103.37058863934,880248.7075760444
Thread 1 ,2212618.64,4541036.64
Thread std 1 ,331382.6991549418,946646.2554635569
Thread 2 ,2223006.88,4532030.94
Thread std 2 ,343889.748272857,853570.6871404649
Thread 3 ,2228405.44,4519460.32
Thread std 3 ,331320.3020795559,929263.2240960828
Thread 4 ,2228579.34,4510182.28
Thread std 4 ,347799.9911040597,799991.1931092802
Thread 5 ,2218589.3,4531602.36
Thread std 5 ,341724.85596045526,904771.0355130169
Thread 6 ,2227296.98,4501618.04
Thread std 6 ,346828.45769445435,840072.4210160174
Thread 7 ,2225674.44,4522115.42
Thread std 7 ,370617.84179433703,913756.3812992304
