Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.734611662E7,1.309074488235294E7
Parsing times ,4610.06,4289.901960784314
Service times ,2621836.18,1.121694268627451E7
Throughput ,3679.34,6849.0392156862745
Times in get ,2615363.18,1.1210596098039215E7
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.3,40.627450980392155
Number of gets ,3679.34,6849.0392156862745
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,772.22,1407.8823529411766
Arrival rate ,3679.32,6848.117647058823
std Times in queue ,2.2983408532852344E7,4.262084822227175E7
std Parsing times ,1964.623715438991,1238.585067807649
std Service times ,1979027.6639098087,4.124448125401125E7
std Throughput ,984.689956591538,2484.2569831704955
std Times in get ,1978887.6073766714,4.124490805842005E7
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.46291004988627554,4.209326712497977
std Number of gets ,984.689956591538,2484.2569831704955
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,242.1028867136905,512.3628654404541
std Arrival rate ,984.0590541430003,2484.8777889228986
Thread 0 ,2648697.44,1.1665325901960785E7
Thread std 0 ,2003877.697399741,4.4253938835835755E7
Thread 1 ,2620969.72,1.141677219607843E7
Thread std 1 ,1951550.1399548298,4.2025580201876245E7
Thread 2 ,2630437.88,1.0714119921568627E7
Thread std 2 ,2081442.5858681414,3.7299257616749905E7
Thread 3 ,2625102.14,1.1341014019607844E7
Thread std 3 ,1927755.2425755905,4.201102595938703E7
Thread 4 ,2617930.34,1.1419845666666666E7
Thread std 4 ,1941195.8625176535,4.285551737827276E7
Thread 5 ,2613290.34,1.1502667E7
Thread std 5 ,1929305.473610917,4.341962091034074E7
Thread 6 ,2631547.02,1.0730821725490196E7
Thread std 6 ,2028591.8190080898,3.79659867262442E7
Thread 7 ,2601103.22,1.134448525490196E7
Thread std 7 ,2009403.967379852,4.201522780432742E7
