Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,3.002947819607843E7,1.949597202E7
Parsing times ,4319.3725490196075,4775.1
Service times ,2868311.254901961,1.42809898E7
Throughput ,2815.7843137254904,4117.9
Times in get ,0.0,0.0
Times in set ,2862747.0,1.427403014E7
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.19607843137256,46.54
Number of gets ,0.0,0.0
Number of sets ,2815.7843137254904,4117.9
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,2814.6862745098038,4116.14
std Times in queue ,3316926.9949286976,4.451279534855551E7
std Parsing times ,1818.5195073002028,1649.73677863334
std Service times ,290293.30325667816,4.360488267911722E7
std Throughput ,246.6247606162439,879.241933458033
std Times in get ,0.0,0.0
std Times in set ,290196.26306546404,4.3605261171115726E7
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,5.60007002757336,5.167441241039112
std Number of gets ,0.0,0.0
std Number of sets ,246.6247606162439,879.241933458033
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,247.7979410887894,882.6816980089708
Thread 0 ,2867605.254901961,1.42062741E7
Thread std 0 ,282015.1702474775,4.3117505590906486E7
Thread 1 ,2868368.1960784313,1.4288816E7
Thread std 1 ,293187.14313694043,4.337916076987893E7
Thread 2 ,2872923.882352941,1.43173692E7
Thread std 2 ,293457.34584669356,4.340852582857579E7
Thread 3 ,2869648.294117647,1.430352992E7
Thread std 3 ,293736.79321932374,4.341299723805799E7
Thread 4 ,2868851.568627451,1.432355156E7
Thread std 4 ,295998.6581002187,4.3404660634831E7
Thread 5 ,2871128.843137255,1.41310464E7
Thread std 5 ,294478.408633256,4.2925318849084124E7
Thread 6 ,2866579.0,1.423855084E7
Thread std 6 ,287912.93988356966,4.3394090945385724E7
Thread 7 ,2862646.4901960786,1.41915655E7
Thread std 7 ,292450.81164027384,4.291439154233102E7
