Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,3.04248194E7,3.853311032E7
Parsing times ,5181.3,4609.46
Service times ,2919952.48,3.661144528E7
Throughput ,2859.62,5355.7
Times in get ,2436955.26,3.525559266E7
Times in set ,3388449.96,3.787294006E7
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,83.94,44.72
Number of gets ,1429.86,2677.94
Number of sets ,1429.76,2677.76
Number of mgets ,0.0,0.0
Number of misses get ,418.16,815.96
Arrival rate ,2859.32,5355.7
std Times in queue ,7117000.209291109,9.025352895772387E7
std Parsing times ,2804.325705631446,1461.832093571597
std Service times ,730002.4202591202,9.304213643011616E7
std Throughput ,463.3778768291532,2249.9273480333914
std Times in get ,690462.2794242618,9.226549500564615E7
std Times in set ,788209.8886433368,9.359157964023747E7
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,0.31363569143000236,4.7981288870065315
std Number of gets ,232.02665311360684,1124.9027061783374
std Number of sets ,231.399871236272,1125.0561448121566
std Number of mgets ,0.0,0.0
std Number of misses get ,110.37179468154211,359.7049788878862
std Arrival rate ,463.7420306812918,2252.1892591839774
Thread 0 ,2928445.28,3.657324394E7
Thread std 0 ,750500.1630339063,9.323636944241974E7
Thread 1 ,2906846.68,3.96368418E7
Thread std 1 ,682617.7675754502,1.0459519904725492E8
Thread 2 ,2919490.48,3.618625974E7
Thread std 2 ,748885.3199307387,9.197685816202709E7
Thread 3 ,2915546.58,3.634794468E7
Thread std 3 ,748602.5555234012,9.2271786029052E7
Thread 4 ,2924658.68,3.831019898E7
Thread std 4 ,749000.961446249,9.892049498902588E7
Thread 5 ,2927149.58,3.67379617E7
Thread std 5 ,730135.8823776513,9.344224821960017E7
Thread 6 ,2917894.28,3.946801962E7
Thread std 6 ,712376.6264041666,1.0315740852744836E8
Thread 7 ,2927440.76,3.607001792E7
Thread std 7 ,741402.4785218822,9.143029977491252E7
