1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         179.26          ---          ---      3.07200       186.33
Gets         179.25       178.90         0.35      2.48700       187.95
Waits          0.00          ---          ---      0.00000          ---
Totals       358.51       178.90         0.35      2.78000       374.29


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.07
SET       2.100         0.92
SET       2.200         4.25
SET       2.300        10.06
SET       2.400        18.19
SET       2.500        27.09
SET       2.600        36.71
SET       2.700        44.78
SET       2.800        51.84
SET       2.900        58.18
SET       3.000        63.96
SET       3.100        68.85
SET       3.200        73.19
SET       3.300        76.91
SET       3.400        80.13
SET       3.500        82.79
SET       3.600        85.25
SET       3.700        87.13
SET       3.800        88.69
SET       3.900        90.21
SET       4.000        91.70
SET       4.100        92.70
SET       4.200        93.63
SET       4.300        94.44
SET       4.400        95.05
SET       4.500        95.57
SET       4.600        96.01
SET       4.700        96.32
SET       4.800        96.53
SET       4.900        96.83
SET       5.000        97.07
SET       5.100        97.31
SET       5.200        97.55
SET       5.300        97.75
SET       5.400        97.93
SET       5.500        98.05
SET       5.600        98.18
SET       5.700        98.32
SET       5.800        98.46
SET       5.900        98.55
SET       6.000        98.63
SET       6.100        98.69
SET       6.200        98.74
SET       6.300        98.83
SET       6.400        98.88
SET       6.500        98.95
SET       6.600        99.02
SET       6.800        99.12
SET       6.900        99.14
SET       7.000        99.18
SET       7.100        99.22
SET       7.200        99.26
SET       7.300        99.30
SET       7.400        99.31
SET       7.500        99.33
SET       7.600        99.39
SET       7.700        99.41
SET       7.800        99.43
SET       7.900        99.45
SET       8.000        99.51
SET       8.100        99.53
SET       8.200        99.55
SET       8.400        99.56
SET       8.500        99.58
SET       8.700        99.60
SET       8.900        99.61
SET       9.100        99.64
SET       9.500        99.66
SET       9.600        99.67
SET       9.700        99.68
SET       9.800        99.70
SET       9.900        99.71
SET      10.000        99.77
SET      11.000        99.82
SET      13.000        99.84
SET      14.000        99.88
SET      18.000        99.89
SET      19.000        99.90
SET      21.000        99.91
SET      22.000        99.93
SET      27.000        99.93
SET      30.000        99.94
SET      31.000        99.96
SET      33.000        99.97
SET      34.000        99.98
SET      36.000        99.99
SET      39.000       100.00
---
GET       0.450         0.01
GET       0.460         0.03
GET       0.470         0.04
GET       0.480         0.05
GET       0.490         0.07
GET       0.500         0.09
GET       0.510         0.10
GET       0.520         0.13
GET       0.530         0.17
GET       0.540         0.19
GET       0.550         0.24
GET       0.560         0.26
GET       0.570         0.33
GET       0.580         0.35
GET       0.590         0.46
GET       0.600         0.51
GET       0.610         0.60
GET       0.620         0.62
GET       0.630         0.68
GET       0.640         0.75
GET       0.650         0.85
GET       0.660         0.92
GET       0.670         1.01
GET       0.680         1.13
GET       0.690         1.22
GET       0.700         1.35
GET       0.710         1.42
GET       0.720         1.56
GET       0.730         1.66
GET       0.740         1.78
GET       0.750         1.90
GET       0.760         2.05
GET       0.770         2.16
GET       0.780         2.25
GET       0.790         2.45
GET       0.800         2.58
GET       0.810         2.76
GET       0.820         3.01
GET       0.830         3.16
GET       0.840         3.37
GET       0.850         3.51
GET       0.860         3.60
GET       0.870         3.80
GET       0.880         3.95
GET       0.890         4.14
GET       0.900         4.30
GET       0.910         4.52
GET       0.920         4.70
GET       0.930         4.91
GET       0.940         5.17
GET       0.950         5.34
GET       0.960         5.54
GET       0.970         5.75
GET       0.980         5.90
GET       0.990         6.08
GET       1.000         7.16
GET       1.100         8.78
GET       1.200        10.33
GET       1.300        12.07
GET       1.400        13.39
GET       1.500        14.36
GET       1.600        15.21
GET       1.700        15.99
GET       1.800        17.03
GET       1.900        19.71
GET       2.000        23.69
GET       2.100        29.56
GET       2.200        36.12
GET       2.300        43.38
GET       2.400        51.00
GET       2.500        57.56
GET       2.600        63.77
GET       2.700        69.20
GET       2.800        73.87
GET       2.900        77.87
