1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         174.13          ---          ---      3.17800       181.00
Gets         174.13       173.78         0.35      2.54700       182.57
Waits          0.00          ---          ---      0.00000          ---
Totals       348.26       173.78         0.35      2.86200       363.57


Request Latency Distribution
Type     <= msec         Percent
SET       4.200        92.20
SET       4.300        93.19
SET       4.400        93.90
SET       4.500        94.35
SET       4.600        94.91
SET       4.700        95.35
SET       4.800        95.75
SET       4.900        96.17
SET       5.000        96.57
SET       5.100        96.73
SET       5.200        96.91
SET       5.300        97.07
SET       5.400        97.27
SET       5.500        97.49
SET       5.600        97.61
SET       5.700        97.76
SET       5.800        97.89
SET       5.900        98.01
SET       6.000        98.06
SET       6.100        98.17
SET       6.200        98.21
SET       6.300        98.27
SET       6.400        98.34
SET       6.500        98.44
SET       6.600        98.48
SET       6.700        98.54
SET       6.800        98.62
SET       6.900        98.64
SET       7.000        98.72
SET       7.100        98.80
SET       7.200        98.84
SET       7.300        98.92
SET       7.400        98.96
SET       7.500        99.01
SET       7.600        99.03
SET       7.800        99.05
SET       7.900        99.10
SET       8.000        99.13
SET       8.100        99.17
SET       8.200        99.21
SET       8.300        99.25
SET       8.400        99.26
SET       8.500        99.27
SET       8.600        99.28
SET       8.700        99.29
SET       8.800        99.31
SET       8.900        99.33
SET       9.000        99.38
SET       9.100        99.39
SET       9.200        99.43
SET       9.300        99.47
SET       9.400        99.48
SET       9.600        99.52
SET       9.700        99.54
SET      10.000        99.61
SET      11.000        99.67
SET      12.000        99.71
SET      13.000        99.72
SET      15.000        99.73
SET      16.000        99.75
SET      17.000        99.77
SET      18.000        99.78
SET      19.000        99.82
SET      20.000        99.83
SET      21.000        99.85
SET      22.000        99.87
SET      23.000        99.90
SET      27.000        99.91
SET      28.000        99.94
SET      31.000        99.95
SET      33.000        99.96
SET      37.000        99.97
SET      38.000        99.98
SET      47.000        99.99
SET      49.000       100.00
---
GET       2.000         0.01
GET       2.100         0.39
GET       2.200         1.99
GET       2.300         5.89
GET       2.400        11.86
GET       2.500        19.49
GET       2.600        26.79
GET       2.700        34.53
GET       2.800        41.46
GET       2.900        48.20
GET       3.000        54.71
GET       3.100        60.59
GET       3.200        65.72
GET       3.300        69.80
GET       3.400        73.98
GET       3.500        77.26
GET       3.600        79.88
GET       3.700        82.65
GET       3.800        84.84
GET       3.900        86.61
GET       4.000        88.56
GET       4.100        90.02
GET       4.200        91.01
GET       4.300        92.11
GET       4.400        93.10
GET       4.500        93.83
GET       4.600        94.45
GET       4.700        95.04
GET       4.800        95.43
GET       4.900        95.78
GET       5.000        96.13
GET       5.100        96.39
GET       5.200        96.62
GET       5.300        96.80
GET       5.400        96.99
GET       5.500        97.18
GET       5.600        97.33
GET       5.700        97.50
GET       5.800        97.60
GET       5.900        97.77
GET       6.000        97.89
GET       6.100        97.99
GET       6.200        98.11
GET       6.300        98.21
GET       6.400        98.29
GET       6.500        98.39
GET       6.600        98.51
GET       6.700        98.54
GET       6.800        98.60
GET       6.900        98.68
GET       7.000        98.73
GET       7.100        98.82
GET       7.200        98.91
GET       7.300        98.95
GET       7.400        99.00
GET       7.500        99.04
GET       7.600        99.08
GET       7.700        99.12
GET       7.800        99.14
GET       7.900        99.15
GET       8.000        99.20
GET       8.100        99.24
GET       8.200        99.26
GET       8.300        99.28
GET       8.400        99.32
GET       8.500        99.33
GET       8.600        99.37
GET       8.700        99.39
GET       8.800        99.43
GET       8.900        99.46
GET       9.000        99.48
GET       9.200        99.49
GET       9.300        99.52
GET       9.400        99.53
GET       9.600        99.57
GET       9.800        99.58
GET       9.900        99.61
GET      10.000        99.68
GET      11.000        99.78
GET      12.000        99.84
GET      13.000        99.86
GET      14.000        99.87
GET      17.000        99.89
GET      21.000        99.90
GET      23.000        99.92
GET      24.000        99.95
GET      25.000        99.96
GET      28.000        99.98
GET      34.000        99.99
GET      35.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         151.79          ---          ---      3.24600       157.78
Gets         151.77       908.70         1.93      3.31900       947.28
Waits          0.00          ---          ---      0.00000          ---
Totals       303.56       908.70         1.93      3.28200      1105.05


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.900         0.01
SET       2.000         0.07
SET       2.100         0.58
SET       2.200         2.88
SET       2.300         7.20
SET       2.400        13.25
SET       2.500        20.18
SET       2.600        28.12
SET       2.700        35.61
SET       2.800        42.28
