Configuration : nrThreads: 16 ,nrServers: 1 ,read sharded: true
Times in queue ,15760.86,28288.9,74656.26,207827.78,1464916.64,6116334.0
Parsing times ,2910.92,3314.78,2852.88,4211.52,2868.38,3518.9
Service times ,2245208.14,2210888.48,2167732.2,2375009.74,2316251.18,2325589.82
Throughput ,695.9,1356.9,2687.54,4494.18,6875.72,6896.26
Times in get ,0.0,0.0,0.0,0.0,0.0,0.0
Times in set ,2241036.62,2206333.86,2163501.42,2368865.46,2312247.52,2320947.74
Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of sets ,695.9,1356.9,2687.54,4494.18,6875.72,6896.26
Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0
Arrival rate ,695.9,1356.9,2687.54,4494.08,6875.96,6896.26
std Times in queue ,3149.7955230685784,11191.850940733255,17723.124406462273,43149.074919158855,59269.90754642387,134202.75105425602
std Parsing times ,331.51087894237025,2464.348001614469,186.80390678954427,1393.479703212539,276.2417523009252,1192.420061069427
std Service times ,84236.77435269793,101184.46825945457,57872.722463230646,111418.34112924249,49304.41901819796,47144.68420472087
std Throughput ,26.987714514087283,56.233206109804506,89.81050572608702,279.62801018787917,138.28040721811664,137.30731359744442
std Times in get ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in set ,84149.01917574802,101066.51223903826,57664.748450688865,111051.89089114316,49277.37418388662,47092.059018961
std Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of sets ,26.987714514087283,56.233206109804506,89.81050572608702,279.62801018787917,138.28040721811664,137.30731359744442
std Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0
std Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0
std Arrival rate ,26.99451947400903,56.23139147980513,89.81709532291109,279.4388575378178,139.5122641086965,137.4779848795094
Thread 0 ,2251073.1,2197847.18,2163802.92,2387362.6,2314964.28,2326776.22
Thread std 0 ,194153.25335659191,111828.74887873541,70772.39389469108,130687.56228158073,49137.55588642386,47126.17886157829
Thread 1 ,2251226.16,2218211.92,2167794.74,2386403.42,2315838.92,2326376.12
Thread std 1 ,126430.39378514864,113974.93608412868,56594.9271310763,127756.75000947411,49331.57609393639,48333.06269010598
Thread 2 ,2252693.36,2207442.1,2165358.78,2354271.6,2319240.34,2324702.1
Thread std 2 ,144449.96506986103,129780.50184992493,71101.99678108018,108101.89874467553,49971.33567238363,48367.50585783976
Thread 3 ,2238296.04,2200040.34,2176370.4,2372401.96,2315086.68,2325488.24
Thread std 3 ,131157.72960827878,113390.91716164742,93547.31751299743,96965.7300855244,49499.25609147875,47744.35808684517
Thread 4 ,2233151.7,2208826.3,2164180.72,2389323.14,2316041.64,2324451.5
Thread std 4 ,105369.51259670584,119408.5474064754,67603.30123355737,188782.24040931286,49712.34699206619,48346.387989619834
Thread 5 ,2248119.88,2199430.4,2168815.96,2368574.48,2316647.5,2327741.74
Thread std 5 ,114681.83541248868,119400.83875991587,72851.30266871676,128904.01177703463,51165.34820031213,48231.531138368686
Thread 6 ,2244344.96,2205147.9,2165382.36,2378463.6,2315747.76,2326197.84
Thread std 6 ,143373.43325350175,116471.84048274835,69183.6692378678,117871.60600537229,49111.735381537095,50183.5448192626
Thread 7 ,2276216.72,2241747.9,2169652.34,2374351.28,2316998.2,2325774.44
Thread std 7 ,221521.97786666857,136886.24354957018,72469.2501814503,136100.80152263495,50823.49304872177,47800.07690035655
Thread 8 ,2217648.96,2206543.46,2173467.5,2374122.26,2315358.64,2322135.3
Thread std 8 ,106861.00191560312,128971.34746139769,76119.02593783298,140523.13658332828,47881.17806879347,48452.532704067955
Thread 9 ,2219078.14,2203206.14,2170216.6,2388837.78,2316709.34,2326682.14
Thread std 9 ,89447.27916146006,124911.44190365184,65874.18467233502,123088.66011335746,50268.65925291943,48882.467436641185
Thread 10 ,2252605.5,2217764.66,2172034.6,2390501.32,2317123.18,2326856.44
Thread std 10 ,162483.5855257888,122616.08056951167,61738.463049829006,128139.84308725416,50658.60279690198,45963.831934783026
Thread 11 ,2239023.4,2218108.98,2160465.72,2364002.54,2316612.16,2325715.68
Thread std 11 ,173850.73769419652,137157.62248052345,51540.97443506398,117454.27881576311,49442.19087484382,49175.19127731804
Thread 12 ,2248924.38,2211496.18,2170745.7,2375360.48,2316402.76,2325620.54
Thread std 12 ,155913.2216426019,136466.98949468494,74475.61693717931,115703.28669087589,50995.87597594014,47229.41728618135
Thread 13 ,2289337.64,2208081.0,2163634.78,2361374.18,2315512.58,2325172.46
Thread std 13 ,205168.42484221372,113145.7329717488,83499.56268302687,118365.90029704587,49201.07694859567,47435.428119776996
Thread 14 ,2247052.08,2214859.66,2162680.26,2367908.8,2317046.1,2324301.3
Thread std 14 ,172965.42049264518,116551.48623319976,63684.19423739076,90118.07366619706,50778.588762430976,46595.92323073435
Thread 15 ,2214772.46,2215226.9,2168433.46,2363662.18,2314967.24,2325846.96
Thread std 15 ,88080.40702866389,143275.8319016583,67175.54124409526,110608.44904799845,49786.6438521786,47077.300128037365
