Configuration : nrThreads: 32 ,nrServers: 1 ,read sharded: true
Times in queue ,24518.666666666668,30531.66,68573.46,146610.8431372549,280858.43137254904,1903899.0196078431,8630342.666666666
Parsing times ,9246.333333333334,4544.38,4375.3,3791.4117647058824,4148.64705882353,4736.137254901961,4351.450980392156
Service times ,2102532.0,2196600.76,2118879.28,2270157.2352941176,2801227.725490196,3573798.1960784313,3507354.6470588236
Throughput ,706.0,1302.76,2602.88,4616.843137254902,7113.862745098039,8823.21568627451,9232.29411764706
Times in get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Times in set ,2092004.0,2190881.0,2113178.84,2264620.4509803923,2795616.5490196077,3567117.705882353,3500473.0
Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of sets ,706.0,1302.76,2602.88,4616.843137254902,7113.862745098039,8823.21568627451,9232.29411764706
Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrival rate ,706.0,1302.76,2602.88,4616.843137254902,7113.901960784314,8823.35294117647,9231.450980392157
std Times in queue ,16843.183853812596,9482.543503206512,10721.919433343175,23894.95517666652,36170.79156958272,250639.91367126588,1247736.1013520875
std Parsing times ,8854.232509559106,4728.721555191277,1974.0238533182387,1095.2010258664038,1842.6571664151681,1249.5518239690234,1333.7466823010357
std Service times ,749.5605379153841,79105.60980586366,52255.86396038756,132750.23311822666,209925.0579974747,335315.53891241126,385711.85778281814
std Throughput ,6.0,45.51409738997896,62.321300450134366,338.7931151926804,553.9770760458539,780.3181995500422,898.1031409391161
std Times in get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Times in set ,8604.438854451811,78903.5046421661,52199.58200839762,132346.86175838305,209297.72086855737,335131.8756477989,382904.183715352
std Times in mget ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Times in mget only memcached part ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Number of gets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Number of sets ,6.0,45.51409738997896,62.321300450134366,338.7931151926804,553.9770760458539,780.3181995500422,898.1031409391161
std Number of mgets ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Number of misses get ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std Arrival rate ,6.0,45.4791093553414,62.250527413551325,338.9627927987979,553.3388927195326,778.8092404056185,899.6464041772298
Thread 0 ,2097107.6666666667,2170447.24,2122835.62,2286434.862745098,2798604.4509803923,3576739.294117647,3492094.0588235296
Thread std 0 ,74560.04651509636,95706.61827296665,105541.53506246938,168766.47159563648,230871.39747273276,355206.7563121115,384811.2883828338
Thread 1 ,2125174.0,2163941.56,2138544.44,2288163.6274509802,2809448.6274509802,3567889.411764706,3519192.8235294116
Thread std 1 ,51708.49553990137,108839.43477794269,84012.36656300507,190508.13067992253,230477.30333479354,365016.06478527363,380924.155808618
Thread 2 ,2071345.0,2200094.56,2121563.14,2265486.8235294116,2797715.7843137253,3596449.588235294,3495238.0196078434
Thread std 2 ,24165.23099413701,186049.3788445839,71959.1315173766,136738.3537633397,227054.675610551,339922.16506219044,365825.36612599686
Thread 3 ,2093148.0,2209116.9,2115633.46,2242903.705882353,2790375.4901960786,3555402.0784313725,3501145.6666666665
Thread std 3 ,62318.426544642476,174898.15427787145,85800.91621560426,130281.0061708604,212331.31191299815,340300.8829215607,379367.01219988364
Thread 4 ,2075731.6666666667,2180021.2,2123540.52,2258497.1960784313,2794768.6274509802,3571377.254901961,3509659.5490196077
Thread std 4 ,72981.89849773253,117041.33638041854,81410.4919461107,131404.32913508132,236459.8856470129,368295.36405330134,382460.4492305218
Thread 5 ,2037172.3333333333,2166662.92,2117672.66,2275212.6470588236,2816275.8235294116,3586974.117647059,3496515.0392156863
Thread std 5 ,34426.8493524071,141638.7903077056,95508.99812948708,164364.55290722792,229829.83183178862,340827.8978240864,377762.98717507836
Thread 6 ,2138230.0,2207713.08,2114367.14,2257206.6274509802,2819368.137254902,3570235.117647059,3522180.9803921566
Thread std 6 ,44618.55164614826,129517.97421772336,62604.35590830949,145848.9295155725,226658.50055005832,346639.2575208785,384556.1645409154
Thread 7 ,2117793.3333333335,2171374.16,2129283.34,2267498.0196078434,2799682.9803921566,3560879.3921568627,3510542.137254902
Thread std 7 ,52342.293046190985,112953.39892878705,87104.87034290029,138990.51334612592,223351.8767106729,320414.6091151325,413465.76140996336
Thread 8 ,2099161.6666666665,2216469.58,2107654.92,2268824.0196078434,2804497.8235294116,3578187.7647058824,3517935.3529411764
Thread std 8 ,77112.9949122282,143603.11613981397,77490.65421301342,161268.90391386556,223737.36530018455,362477.63855606806,413944.03846292186
Thread 9 ,2085554.0,2197520.76,2123813.2,2262641.254901961,2804142.745098039,3597778.431372549,3507088.0588235296
Thread std 9 ,55375.33431953256,155650.53853707027,68921.76305886883,189694.46373248147,225834.55881594768,344675.65773232415,387831.95586003026
Thread 10 ,2245052.3333333335,2195078.04,2119580.04,2267885.0,2796981.431372549,3540374.0,3518937.6274509802
Thread std 10 ,331126.0879488859,133698.39528885414,80598.46834670682,181968.25325797903,250425.5240864441,321789.5580069683,367134.8276198792
