1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          28.32          ---          ---      3.94200        29.43
Gets         283.00       278.27         4.73      3.12800       292.44
Waits          0.00          ---          ---      0.00000          ---
Totals       311.31       278.27         4.73      3.20200       321.88


Request Latency Distribution
Type     <= msec         Percent
GET       3.700        79.17
GET       3.800        83.62
GET       3.900        86.97
GET       4.000        89.77
GET       4.100        91.81
GET       4.200        93.34
GET       4.300        94.55
GET       4.400        95.11
GET       4.500        95.58
GET       4.600        96.04
GET       4.700        96.47
GET       4.800        96.82
GET       4.900        97.10
GET       5.000        97.30
GET       5.100        97.47
GET       5.200        97.64
GET       5.300        97.79
GET       5.400        97.91
GET       5.500        98.05
GET       5.600        98.14
GET       5.700        98.17
GET       5.800        98.27
GET       5.900        98.36
GET       6.000        98.42
GET       6.100        98.52
GET       6.200        98.56
GET       6.300        98.61
GET       6.400        98.67
GET       6.500        98.73
GET       6.600        98.79
GET       6.700        98.86
GET       6.800        98.90
GET       6.900        98.96
GET       7.000        99.02
GET       7.100        99.03
GET       7.200        99.09
GET       7.300        99.10
GET       7.400        99.15
GET       7.500        99.18
GET       7.600        99.22
GET       7.700        99.25
GET       7.800        99.30
GET       7.900        99.33
GET       8.000        99.35
GET       8.100        99.36
GET       8.200        99.40
GET       8.300        99.42
GET       8.500        99.44
GET       8.600        99.46
GET       8.800        99.48
GET       8.900        99.54
GET       9.000        99.56
GET       9.100        99.58
GET       9.200        99.59
GET       9.300        99.61
GET       9.400        99.64
GET       9.500        99.66
GET       9.600        99.69
GET       9.700        99.70
GET       9.800        99.71
GET       9.900        99.74
GET      10.000        99.81
GET      11.000        99.86
GET      12.000        99.91
GET      13.000        99.93
GET      15.000        99.95
GET      19.000        99.96
GET      21.000        99.96
GET      22.000        99.97
GET      23.000        99.98
GET      27.000        99.99
GET      29.000        99.99
GET      41.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          94.53          ---          ---      3.96200        98.26
Gets         189.07       929.40        15.93      3.29000       969.36
Waits          0.00          ---          ---      0.00000          ---
Totals       283.60       929.40        15.93      3.51400      1067.62


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000         0.02
SET       3.100         0.32
SET       3.200         3.26
SET       3.300        10.31
SET       3.400        21.17
SET       3.500        33.90
SET       3.600        45.20
SET       3.700        55.22
SET       3.800        64.19
SET       3.900        71.72
SET       4.000        78.01
SET       4.100        82.21
SET       4.200        85.74
SET       4.300        88.10
SET       4.400        89.95
SET       4.500        91.36
SET       4.600        92.30
SET       4.700        93.14
SET       4.800        93.81
SET       4.900        94.31
SET       5.000        94.69
SET       5.100        95.13
SET       5.200        95.35
SET       5.300        95.68
SET       5.400        95.87
SET       5.500        96.12
SET       5.600        96.24
SET       5.700        96.42
SET       5.800        96.67
SET       5.900        96.84
SET       6.000        97.02
SET       6.100        97.16
SET       6.200        97.28
SET       6.300        97.43
SET       6.400        97.53
SET       6.500        97.57
SET       6.600        97.69
SET       6.700        97.80
SET       6.800        97.85
SET       6.900        98.03
SET       7.000        98.11
SET       7.100        98.20
SET       7.200        98.25
SET       7.300        98.27
SET       7.400        98.34
SET       7.500        98.41
SET       7.600        98.45
SET       7.700        98.47
SET       7.800        98.52
SET       7.900        98.61
SET       8.100        98.70
SET       8.200        98.71
SET       8.300        98.77
SET       8.400        98.78
SET       8.500        98.82
SET       8.700        98.85
SET       8.800        98.91
SET       8.900        98.98
SET       9.000        99.01
SET       9.100        99.03
SET       9.200        99.08
SET       9.300        99.12
SET       9.400        99.15
SET       9.800        99.17
SET       9.900        99.19
SET      10.000        99.29
SET      11.000        99.45
SET      12.000        99.58
SET      13.000        99.67
SET      14.000        99.72
SET      15.000        99.74
SET      17.000        99.75
SET      18.000        99.79
SET      19.000        99.81
SET      22.000        99.84
SET      23.000        99.86
SET      25.000        99.88
SET      28.000        99.91
SET      29.000        99.93
SET      33.000        99.95
SET      35.000        99.96
SET      38.000        99.98
SET      47.000       100.00
---
GET       1.800         0.12
GET       1.900         0.97
GET       2.000         3.16
GET       2.100         7.92
GET       2.200        13.45
GET       2.300        19.11
GET       2.400        23.40
GET       2.500        27.00
GET       2.600        29.67
GET       2.700        31.58
GET       2.800        32.88
GET       2.900        34.04
GET       3.000        36.12
GET       3.100        39.52
GET       3.200        44.98
GET       3.300        51.16
GET       3.400        58.20
GET       3.500        65.12
GET       3.600        71.67
GET       3.700        77.31
GET       3.800        81.84
GET       3.900        85.63
GET       4.000        88.47
GET       4.100        90.67
GET       4.200        92.28
GET       4.300        93.80
GET       4.400        94.72
GET       4.500        95.45
GET       4.600        95.96
GET       4.700        96.34
GET       4.800        96.68
GET       4.900        96.97
GET       5.000        97.20
GET       5.100        97.36
GET       5.200        97.58
GET       5.300        97.80
GET       5.400        97.99
GET       5.500        98.10
GET       5.600        98.18
GET       5.700        98.29
GET       5.800        98.36
GET       5.900        98.44
GET       6.000        98.51
GET       6.100        98.59
GET       6.200        98.69
GET       6.300        98.77
GET       6.400        98.85
GET       6.500        98.91
GET       6.600        98.95
GET       6.700        99.00
GET       6.800        99.07
GET       6.900        99.11
GET       7.000        99.17
GET       7.100        99.19
GET       7.200        99.20
GET       7.300        99.22
GET       7.400        99.25
GET       7.500        99.29
GET       7.600        99.32
GET       7.700        99.35
GET       7.800        99.37
GET       7.900        99.40
GET       8.000        99.41
GET       8.100        99.44
GET       8.200        99.44
GET       8.300        99.49
GET       8.400        99.51
GET       8.500        99.53
GET       8.600        99.55
GET       8.700        99.56
GET       8.800        99.59
GET       8.900        99.60
