1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         185.95          ---          ---      3.01200       193.28
Gets         185.93       185.45         0.48      2.34900       194.83
Waits          0.00          ---          ---      0.00000          ---
Totals       371.88       185.45         0.48      2.68000       388.11


Request Latency Distribution
Type     <= msec         Percent
SET       3.100        74.30
SET       3.200        77.85
SET       3.300        80.76
SET       3.400        83.49
SET       3.500        85.77
SET       3.600        87.75
SET       3.700        89.36
SET       3.800        90.74
SET       3.900        92.05
SET       4.000        93.20
SET       4.100        93.79
SET       4.200        94.41
SET       4.300        94.97
SET       4.400        95.40
SET       4.500        95.82
SET       4.600        96.32
SET       4.700        96.58
SET       4.800        96.90
SET       4.900        97.06
SET       5.000        97.23
SET       5.100        97.42
SET       5.200        97.53
SET       5.300        97.61
SET       5.400        97.71
SET       5.500        97.81
SET       5.600        98.00
SET       5.700        98.09
SET       5.800        98.22
SET       5.900        98.31
SET       6.000        98.35
SET       6.100        98.46
SET       6.200        98.53
SET       6.300        98.57
SET       6.400        98.58
SET       6.500        98.60
SET       6.600        98.66
SET       6.700        98.68
SET       6.800        98.70
SET       6.900        98.75
SET       7.000        98.78
SET       7.100        98.79
SET       7.200        98.82
SET       7.300        98.84
SET       7.400        98.88
SET       7.500        98.91
SET       7.600        98.93
SET       7.700        98.96
SET       7.800        98.98
SET       7.900        99.04
SET       8.000        99.08
SET       8.100        99.12
SET       8.200        99.15
SET       8.300        99.18
SET       8.400        99.20
SET       8.500        99.24
SET       8.600        99.26
SET       8.800        99.27
SET       8.900        99.29
SET       9.000        99.31
SET       9.100        99.34
SET       9.200        99.35
SET       9.400        99.36
SET       9.500        99.37
SET       9.600        99.38
SET       9.700        99.39
SET       9.800        99.41
SET       9.900        99.46
SET      10.000        99.59
SET      11.000        99.65
SET      12.000        99.67
SET      13.000        99.70
SET      14.000        99.72
SET      15.000        99.76
SET      16.000        99.79
SET      18.000        99.80
SET      19.000        99.83
SET      20.000        99.85
SET      21.000        99.86
SET      23.000        99.87
SET      24.000        99.91
SET      25.000        99.92
SET      26.000        99.95
SET      32.000        99.95
SET      33.000        99.97
SET      34.000        99.98
SET      36.000        99.99
SET      41.000       100.00
---
GET       0.510         0.03
GET       0.520         0.05
GET       0.530         0.07
GET       0.540         0.11
GET       0.550         0.15
GET       0.560         0.19
GET       0.570         0.24
GET       0.580         0.30
GET       0.590         0.34
GET       0.600         0.39
GET       0.610         0.43
GET       0.620         0.50
GET       0.630         0.54
GET       0.640         0.66
GET       0.650         0.77
GET       0.660         0.83
GET       0.670         0.93
GET       0.680         1.01
GET       0.690         1.11
GET       0.700         1.20
GET       0.710         1.36
GET       0.720         1.56
GET       0.730         1.69
GET       0.740         1.82
GET       0.750         2.00
GET       0.760         2.20
GET       0.770         2.39
GET       0.780         2.52
GET       0.790         2.76
GET       0.800         3.01
GET       0.810         3.29
GET       0.820         3.55
GET       0.830         3.76
GET       0.840         3.84
GET       0.850         4.08
GET       0.860         4.24
GET       0.870         4.60
GET       0.880         4.90
GET       0.890         5.18
GET       0.900         5.42
GET       0.910         5.55
GET       0.920         5.76
GET       0.930         6.03
GET       0.940         6.24
GET       0.950         6.49
GET       0.960         6.72
GET       0.970         6.96
GET       0.980         7.18
GET       0.990         7.50
GET       1.000         9.12
GET       1.100        11.34
GET       1.200        13.64
GET       1.300        15.50
GET       1.400        17.25
GET       1.500        18.64
GET       1.600        19.69
GET       1.700        20.65
GET       1.800        21.61
GET       1.900        23.64
GET       2.000        27.11
GET       2.100        31.98
GET       2.200        37.52
GET       2.300        44.40
GET       2.400        52.23
GET       2.500        59.32
GET       2.600        66.00
GET       2.700        71.38
GET       2.800        75.98
GET       2.900        79.71
GET       3.000        82.85
GET       3.100        85.75
GET       3.200        87.76
GET       3.300        89.73
GET       3.400        91.15
GET       3.500        92.42
GET       3.600        93.47
GET       3.700        94.29
GET       3.800        95.00
GET       3.900        95.66
GET       4.000        96.35
GET       4.100        96.83
GET       4.200        97.12
GET       4.300        97.44
GET       4.400        97.69
GET       4.500        97.82
GET       4.600        98.02
GET       4.700        98.24
GET       4.800        98.38
GET       4.900        98.51
GET       5.000        98.67
GET       5.100        98.76
GET       5.200        98.78
GET       5.300        98.87
GET       5.400        98.95
GET       5.500        98.98
GET       5.600        99.03
GET       5.700        99.05
GET       5.800        99.09
GET       5.900        99.15
GET       6.000        99.18
GET       6.100        99.23
GET       6.200        99.27
GET       6.300        99.28
GET       6.400        99.30
GET       6.500        99.32
GET       6.600        99.37
GET       6.700        99.39
GET       6.800        99.40
GET       6.900        99.41
GET       7.000        99.42
GET       7.100        99.43
GET       7.200        99.46
GET       7.300        99.47
GET       7.400        99.51
GET       7.500        99.53
GET       7.600        99.54
GET       7.700        99.55
GET       7.800        99.57
GET       7.900        99.60
GET       8.000        99.61
GET       8.300        99.64
GET       8.500        99.66
GET       8.600        99.66
GET       8.800        99.67
GET       8.900        99.69
GET       9.000        99.70
GET       9.200        99.71
GET       9.400        99.76
GET       9.500        99.76
GET       9.600        99.77
GET       9.700        99.78
GET       9.800        99.79
GET       9.900        99.81
GET      10.000        99.86
GET      11.000        99.88
GET      12.000        99.93
GET      13.000        99.94
GET      14.000        99.95
GET      16.000        99.95
GET      21.000        99.96
GET      22.000        99.97
GET      31.000        99.98
GET      33.000        99.99
GET      34.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         179.83          ---          ---      3.00700       186.92
Gets         179.81      1075.23         3.65      2.53400      1120.90
Waits          0.00          ---          ---      0.00000          ---
Totals       359.64      1075.23         3.65      2.77000      1307.82


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.24
SET       2.100         2.10
SET       2.200         6.78
SET       2.300        15.28
SET       2.400        24.04
SET       2.500        33.30
SET       2.600        42.48
SET       2.700        50.65
SET       2.800        58.17
SET       2.900        63.99
SET       3.000        69.01
SET       3.100        73.19
SET       3.200        76.94
SET       3.300        80.19
SET       3.400        82.63
SET       3.500        85.11
SET       3.600        86.94
SET       3.700        88.76
SET       3.800        90.19
SET       3.900        91.46
SET       4.000        92.64
SET       4.100        93.59
SET       4.200        94.27
SET       4.300        94.86
SET       4.400        95.40
SET       4.500        95.77
SET       4.600        96.19
SET       4.700        96.41
SET       4.800        96.71
SET       4.900        97.03
SET       5.000        97.27
SET       5.100        97.44
SET       5.200        97.66
SET       5.300        97.79
SET       5.400        97.91
SET       5.500        98.01
SET       5.600        98.11
SET       5.700        98.16
SET       5.800        98.24
SET       5.900        98.32
SET       6.000        98.38
SET       6.100        98.45
SET       6.200        98.54
SET       6.300        98.58
SET       6.400        98.62
SET       6.500        98.67
SET       6.600        98.72
SET       6.700        98.76
SET       6.800        98.84
SET       6.900        98.86
SET       7.000        98.88
SET       7.100        98.92
SET       7.200        98.97
SET       7.300        99.01
SET       7.400        99.06
SET       7.500        99.09
SET       7.700        99.13
SET       7.800        99.14
SET       7.900        99.16
SET       8.000        99.18
SET       8.100        99.21
SET       8.200        99.22
SET       8.300        99.24
SET       8.400        99.27
SET       8.500        99.28
SET       8.600        99.30
SET       8.800        99.32
SET       8.900        99.34
SET       9.000        99.37
SET       9.100        99.38
SET       9.200        99.40
SET       9.300        99.41
SET       9.400        99.43
SET       9.500        99.45
SET       9.600        99.50
SET       9.700        99.52
SET       9.800        99.53
SET       9.900        99.57
SET      10.000        99.64
SET      11.000        99.73
SET      12.000        99.75
SET      13.000        99.77
SET      14.000        99.80
SET      15.000        99.84
SET      16.000        99.86
SET      17.000        99.88
SET      18.000        99.89
SET      19.000        99.90
SET      20.000        99.91
SET      22.000        99.94
SET      23.000        99.95
SET      25.000        99.96
SET      26.000        99.97
SET      30.000        99.98
SET      34.000        99.99
SET      37.000       100.00
---
GET       0.530         0.01
GET       0.540         0.02
GET       0.560         0.06
GET       0.570         0.06
GET       0.580         0.10
GET       0.590         0.12
GET       0.600         0.13
GET       0.610         0.15
GET       0.620         0.17
GET       0.630         0.19
GET       0.640         0.20
GET       0.650         0.26
GET       0.660         0.30
GET       0.680         0.34
GET       0.690         0.39
GET       0.700         0.44
GET       0.710         0.48
GET       0.720         0.55
GET       0.730         0.62
GET       0.740         0.70
GET       0.750         0.81
GET       0.760         0.90
GET       0.770         1.03
GET       0.780         1.13
GET       0.790         1.29
GET       0.800         1.46
GET       0.810         1.58
GET       0.820         1.70
GET       0.830         1.87
GET       0.840         2.01
GET       0.850         2.16
GET       0.860         2.29
GET       0.870         2.52
GET       0.880         2.71
GET       0.890         2.91
GET       0.900         3.14
GET       0.910         3.33
GET       0.920         3.55
GET       0.930         3.76
GET       0.940         3.92
GET       0.950         4.21
GET       0.960         4.43
GET       0.970         4.72
GET       0.980         4.90
GET       0.990         5.08
GET       1.000         6.47
GET       1.100         8.89
GET       1.200        11.12
GET       1.300        13.09
GET       1.400        14.84
GET       1.500        16.44
GET       1.600        17.76
GET       1.700        18.92
GET       1.800        19.93
GET       1.900        21.61
GET       2.000        23.80
GET       2.100        27.69
GET       2.200        32.68
GET       2.300        38.60
GET       2.400        45.23
GET       2.500        52.83
GET       2.600        59.63
GET       2.700        65.70
GET       2.800        71.13
GET       2.900        75.47
GET       3.000        79.72
GET       3.100        82.78
GET       3.200        85.33
GET       3.300        87.52
GET       3.400        89.34
GET       3.500        90.85
GET       3.600        92.16
GET       3.700        93.35
GET       3.800        94.07
GET       3.900        94.89
GET       4.000        95.63
GET       4.100        96.26
GET       4.200        96.80
GET       4.300        97.11
GET       4.400        97.42
GET       4.500        97.72
GET       4.600        97.96
GET       4.700        98.16
GET       4.800        98.31
GET       4.900        98.43
GET       5.000        98.57
GET       5.100        98.72
GET       5.200        98.79
GET       5.300        98.90
GET       5.400        98.97
GET       5.500        99.02
GET       5.600        99.07
GET       5.700        99.11
GET       5.800        99.16
GET       5.900        99.20
GET       6.000        99.24
GET       6.100        99.30
GET       6.200        99.30
GET       6.300        99.33
GET       6.400        99.34
GET       6.500        99.36
GET       6.600        99.37
GET       6.700        99.38
GET       6.800        99.41
GET       6.900        99.42
GET       7.000        99.43
GET       7.100        99.43
GET       7.200        99.44
GET       7.300        99.45
GET       7.400        99.46
GET       7.700        99.48
GET       7.800        99.54
GET       7.900        99.55
GET       8.000        99.59
GET       8.100        99.60
GET       8.300        99.63
GET       8.400        99.64
GET       8.600        99.66
GET       8.800        99.67
GET       8.900        99.68
GET       9.000        99.69
GET       9.200        99.70
GET       9.300        99.71
GET       9.400        99.73
GET       9.500        99.75
GET       9.700        99.76
GET       9.800        99.78
GET       9.900        99.79
GET      10.000        99.83
GET      11.000        99.89
GET      12.000        99.91
GET      14.000        99.94
GET      22.000        99.94
GET      27.000        99.95
GET      34.000        99.96
GET      36.000        99.97
GET      37.000        99.98
GET      43.000        99.99
GET      50.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         173.36          ---          ---      3.09300       180.20
Gets         173.36      1554.15         6.08      2.65300      1619.32
Waits          0.00          ---          ---      0.00000          ---
Totals       346.72      1554.15         6.08      2.87300      1799.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.900         0.01
SET       2.000         0.10
SET       2.100         1.56
SET       2.200         5.71
SET       2.300        12.70
SET       2.400        21.29
SET       2.500        30.72
SET       2.600        39.14
SET       2.700        46.90
SET       2.800        53.99
SET       2.900        60.14
SET       3.000        65.24
SET       3.100        70.04
SET       3.200        74.35
SET       3.300        77.86
SET       3.400        80.81
SET       3.500        83.10
SET       3.600        84.98
SET       3.700        86.89
SET       3.800        88.59
SET       3.900        90.03
SET       4.000        91.47
SET       4.100        92.36
SET       4.200        93.08
SET       4.300        93.73
SET       4.400        94.37
SET       4.500        94.86
SET       4.600        95.32
SET       4.700        95.65
SET       4.800        95.97
SET       4.900        96.19
SET       5.000        96.48
SET       5.100        96.66
SET       5.200        96.80
SET       5.300        96.99
SET       5.400        97.17
SET       5.500        97.30
SET       5.600        97.45
SET       5.700        97.59
SET       5.800        97.72
SET       5.900        97.85
SET       6.000        97.92
SET       6.100        97.95
SET       6.200        98.05
SET       6.300        98.13
SET       6.400        98.20
SET       6.500        98.24
SET       6.600        98.31
SET       6.700        98.36
SET       6.800        98.38
SET       6.900        98.43
SET       7.000        98.48
SET       7.100        98.54
SET       7.200        98.57
SET       7.300        98.58
SET       7.400        98.65
SET       7.500        98.66
SET       7.600        98.72
SET       7.700        98.73
SET       7.800        98.78
SET       7.900        98.83
SET       8.000        98.87
SET       8.100        98.88
SET       8.200        98.92
SET       8.300        98.94
SET       8.400        98.98
SET       8.500        99.00
SET       8.600        99.03
SET       8.700        99.08
SET       8.800        99.09
SET       8.900        99.11
SET       9.000        99.16
SET       9.100        99.20
SET       9.200        99.23
SET       9.300        99.26
SET       9.400        99.28
SET       9.500        99.33
SET       9.700        99.36
SET       9.800        99.42
SET       9.900        99.43
SET      10.000        99.51
SET      11.000        99.60
SET      12.000        99.67
SET      13.000        99.71
SET      14.000        99.76
SET      15.000        99.78
SET      16.000        99.80
SET      17.000        99.84
SET      18.000        99.85
SET      19.000        99.88
SET      20.000        99.89
SET      21.000        99.91
SET      22.000        99.93
SET      23.000        99.94
SET      30.000        99.95
SET      31.000        99.96
SET      33.000        99.97
SET      34.000        99.98
SET      35.000        99.99
SET      37.000       100.00
---
GET       0.580         0.01
GET       0.610         0.02
GET       0.650         0.03
GET       0.660         0.05
GET       0.670         0.06
GET       0.680         0.09
GET       0.690         0.10
GET       0.700         0.12
GET       0.710         0.12
GET       0.720         0.13
GET       0.730         0.16
GET       0.740         0.24
GET       0.750         0.29
GET       0.760         0.31
GET       0.770         0.36
GET       0.780         0.41
GET       0.790         0.44
GET       0.800         0.54
GET       0.810         0.60
GET       0.820         0.67
GET       0.830         0.73
GET       0.840         0.80
GET       0.850         0.87
GET       0.860         0.96
GET       0.870         1.05
GET       0.880         1.19
GET       0.890         1.30
GET       0.900         1.43
GET       0.910         1.56
GET       0.920         1.71
GET       0.930         1.87
GET       0.940         2.07
GET       0.950         2.17
GET       0.960         2.34
GET       0.970         2.51
GET       0.980         2.67
GET       0.990         2.85
GET       1.000         4.07
GET       1.100         6.50
GET       1.200         8.97
GET       1.300        11.18
GET       1.400        13.07
GET       1.500        14.99
GET       1.600        16.49
GET       1.700        17.76
GET       1.800        18.79
GET       1.900        19.90
GET       2.000        21.20
GET       2.100        23.64
GET       2.200        27.62
GET       2.300        32.60
GET       2.400        38.07
GET       2.500        44.98
GET       2.600        51.28
GET       2.700        58.09
GET       2.800        64.01
GET       2.900        69.29
GET       3.000        74.30
GET       3.100        78.48
GET       3.200        81.54
GET       3.300        84.31
GET       3.400        86.44
GET       3.500        88.31
GET       3.600        89.87
GET       3.700        91.27
GET       3.800        92.62
GET       3.900        93.56
GET       4.000        94.27
GET       4.100        95.01
GET       4.200        95.70
GET       4.300        96.16
GET       4.400        96.59
GET       4.500        96.89
GET       4.600        97.17
GET       4.700        97.41
GET       4.800        97.63
GET       4.900        97.77
GET       5.000        97.98
GET       5.100        98.11
GET       5.200        98.22
GET       5.300        98.35
GET       5.400        98.46
GET       5.500        98.59
GET       5.600        98.69
GET       5.700        98.80
GET       5.800        98.82
GET       5.900        98.86
GET       6.000        98.92
GET       6.100        98.97
GET       6.200        99.00
GET       6.300        99.05
GET       6.400        99.12
GET       6.500        99.14
GET       6.600        99.21
GET       6.700        99.24
GET       6.800        99.26
GET       6.900        99.30
GET       7.000        99.31
GET       7.200        99.33
GET       7.300        99.35
GET       7.500        99.38
GET       7.600        99.41
GET       7.700        99.44
GET       7.800        99.46
GET       7.900        99.50
GET       8.000        99.53
GET       8.100        99.54
GET       8.200        99.55
GET       8.300        99.56
GET       8.400        99.57
GET       8.500        99.58
GET       8.600        99.59
GET       8.700        99.61
GET       8.800        99.63
GET       9.000        99.66
GET       9.100        99.67
GET       9.200        99.68
GET       9.400        99.69
GET       9.500        99.72
GET       9.600        99.76
GET       9.700        99.77
GET       9.800        99.79
GET       9.900        99.81
GET      10.000        99.88
GET      11.000        99.92
GET      13.000        99.93
GET      15.000        99.94
GET      16.000        99.95
GET      18.000        99.96
GET      20.000        99.97
GET      24.000        99.99
GET      27.000       100.00
---
