Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.1937651470588237E7,4950333.28
Parsing times ,5411.3725490196075,4764.86
Service times ,2142704.156862745,4002590.96
Throughput ,3784.2549019607845,8783.26
Times in get ,2134962.0196078434,3995681.18
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,81.80392156862744,38.04
Number of gets ,3784.2549019607845,8783.26
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,788.6470588235294,1791.82
Arrival rate ,3782.9803921568628,8781.68
std Times in queue ,2700761.9108209545,2123450.972240841
std Parsing times ,2058.595229381282,1378.9898700253943
std Service times ,229508.81960154584,1893658.3294295291
std Throughput ,391.97494017537684,1793.303516543973
std Times in get ,229187.0630743795,1894189.8352236291
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,6.13520857948004,4.977336391185592
std Number of gets ,391.97494017537684,1793.303516543973
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,156.51706916875386,391.8161110750286
std Arrival rate ,394.3234961397091,1797.7460200631963
Thread 0 ,2129463.9607843137,3997657.74
Thread std 0 ,240791.34644060285,1822581.3385513371
Thread 1 ,2127751.274509804,4021702.42
Thread std 1 ,236632.5520605378,1734266.1862624052
Thread 2 ,2143664.68627451,4031669.1
Thread std 2 ,230224.193385968,1857746.6064319098
Thread 3 ,2147828.882352941,3998183.22
Thread std 3 ,226983.82007699547,1885161.3041936746
Thread 4 ,2155749.7647058824,4039909.54
Thread std 4 ,236615.53551401378,1865026.5166654428
Thread 5 ,2145915.843137255,4019451.76
Thread std 5 ,226678.53291014323,1970754.7394112595
Thread 6 ,2151182.2352941176,4059283.22
Thread std 6 ,233438.4145005777,2096399.1867671409
Thread 7 ,2149191.7647058824,3998343.24
Thread std 7 ,251890.81421326887,1788954.0947980965
