Configuration : nrThreads: 8 ,nrServers: 3 ,read sharded: true
Times in queue ,2.908319637254902E7,7187362.470588235
Parsing times ,5778.3725490196075,4639.921568627451
Service times ,2801649.117647059,4852539.882352941
Throughput ,2966.235294117647,6707.9607843137255
Times in get ,2224977.9411764704,3729601.294117647
Times in set ,3361479.470588235,5961075.94117647
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Queue lengths ,82.80392156862744,44.333333333333336
Number of gets ,1483.078431372549,3353.9411764705883
Number of sets ,1483.1568627450981,3354.0196078431372
Number of mgets ,0.0,0.0
Number of misses get ,436.0,1015.4117647058823
Arrival rate ,2964.901960784314,6706.78431372549
std Times in queue ,7787746.790647169,1201323.1552227293
std Parsing times ,2576.6964350562084,1350.153514873583
std Service times ,764913.9047962886,700514.4570848099
std Throughput ,462.81757046314885,866.8113511205149
std Times in get ,717103.1007256185,578995.6131192462
std Times in set ,815430.4357598714,878385.4386799092
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Queue lengths ,4.142557701918646,3.4389921004077153
std Number of gets ,231.44380252123884,434.3321499389474
std Number of sets ,231.4202560320958,432.5235480385353
std Number of mgets ,0.0,0.0
std Number of misses get ,114.874192053742,144.62187614197077
std Arrival rate ,461.04794782764014,868.417349290662
Thread 0 ,2799518.3725490198,4881854.588235294
Thread std 0 ,712524.1227034761,741029.4031259805
Thread 1 ,2811420.9215686275,4830217.9215686275
Thread std 1 ,790825.0967759392,721831.7603145443
Thread 2 ,2807632.862745098,4905175.137254902
Thread std 2 ,824588.8169503884,715206.1770667259
Thread 3 ,2812158.470588235,4847957.2549019605
Thread std 3 ,809245.2266612229,735414.5973629254
Thread 4 ,2793273.294117647,4882714.294117647
Thread std 4 ,729914.4282849408,699467.9121546977
Thread 5 ,2812695.4509803923,4839250.392156863
Thread std 5 ,784849.8110731585,710775.1953252752
Thread 6 ,2799587.68627451,4871239.960784313
Thread std 6 ,773554.0914409928,696704.4106178737
Thread 7 ,2786637.68627451,4853083.529411765
Thread std 7 ,723174.6249804812,700185.2592443619
