1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          26.65          ---          ---      4.01500        27.70
Gets         266.37       261.85         4.52      3.34200       275.19
Waits          0.00          ---          ---      0.00000          ---
Totals       293.01       261.85         4.52      3.40300       302.89


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.200         1.56
SET       3.300         6.75
SET       3.400        18.07
SET       3.500        30.46
SET       3.600        40.90
SET       3.700        50.97
SET       3.800        58.66
SET       3.900        65.48
SET       4.000        72.23
SET       4.100        76.99
SET       4.200        80.99
SET       4.300        84.05
SET       4.400        86.93
SET       4.500        88.31
SET       4.600        89.62
SET       4.700        90.93
SET       4.800        92.25
SET       4.900        92.87
SET       5.000        93.50
SET       5.100        94.00
SET       5.200        94.50
SET       5.300        94.87
SET       5.400        95.06
SET       5.500        95.50
SET       5.600        95.68
SET       5.700        95.81
SET       5.800        96.06
SET       5.900        96.12
SET       6.000        96.31
SET       6.100        96.44
SET       6.200        96.50
SET       6.300        96.69
SET       6.400        97.00
SET       6.500        97.06
SET       6.600        97.12
SET       6.800        97.25
SET       7.000        97.37
SET       7.100        97.50
SET       7.200        97.69
SET       7.300        98.00
SET       7.400        98.12
SET       7.500        98.31
SET       7.600        98.37
SET       7.700        98.62
SET       7.900        98.69
SET       8.000        98.75
SET       8.100        98.94
SET       8.200        99.00
SET       8.300        99.06
SET       8.500        99.12
SET       8.800        99.19
SET       9.300        99.25
SET       9.600        99.37
SET      10.000        99.62
SET      11.000        99.81
SET      12.000        99.94
SET      51.000       100.00
---
GET       1.700         0.19
GET       1.800         1.45
GET       1.900         4.74
GET       2.000         9.99
GET       2.100        14.94
GET       2.200        18.52
GET       2.300        21.74
GET       2.400        24.50
GET       2.500        26.71
GET       2.600        28.50
GET       2.700        29.86
GET       2.800        30.88
GET       2.900        31.60
GET       3.000        32.39
GET       3.100        33.88
GET       3.200        38.31
GET       3.300        46.90
GET       3.400        56.29
GET       3.500        64.62
GET       3.600        71.12
GET       3.700        76.34
GET       3.800        80.35
GET       3.900        83.92
GET       4.000        87.15
GET       4.100        89.33
GET       4.200        91.03
GET       4.300        92.15
GET       4.400        93.42
GET       4.500        94.29
GET       4.600        94.99
GET       4.700        95.46
GET       4.800        95.78
GET       4.900        96.16
GET       5.000        96.43
GET       5.100        96.64
GET       5.200        96.85
GET       5.300        96.97
GET       5.400        97.15
GET       5.500        97.27
GET       5.600        97.40
GET       5.700        97.51
GET       5.800        97.61
GET       5.900        97.72
GET       6.000        97.80
GET       6.100        97.89
GET       6.200        97.95
GET       6.300        98.03
GET       6.400        98.09
GET       6.500        98.15
GET       6.600        98.23
GET       6.700        98.31
GET       6.800        98.39
GET       6.900        98.45
GET       7.000        98.48
GET       7.100        98.57
GET       7.200        98.63
GET       7.300        98.69
GET       7.400        98.74
GET       7.500        98.77
GET       7.600        98.81
GET       7.700        98.84
GET       7.800        98.85
GET       7.900        98.87
GET       8.000        98.94
GET       8.100        98.98
GET       8.200        99.02
GET       8.300        99.03
GET       8.400        99.05
GET       8.500        99.08
GET       8.600        99.11
GET       8.700        99.16
GET       8.800        99.18
GET       8.900        99.23
GET       9.000        99.26
GET       9.100        99.29
GET       9.200        99.32
GET       9.300        99.34
GET       9.400        99.39
GET       9.500        99.41
GET       9.600        99.45
GET       9.700        99.47
GET       9.800        99.50
GET       9.900        99.54
GET      10.000        99.65
GET      11.000        99.78
GET      12.000        99.84
GET      13.000        99.87
GET      14.000        99.88
GET      15.000        99.89
GET      17.000        99.90
GET      18.000        99.91
GET      20.000        99.91
GET      21.000        99.92
GET      23.000        99.93
GET      25.000        99.94
GET      26.000        99.95
GET      29.000        99.96
GET      30.000        99.97
GET      36.000        99.97
GET      37.000        99.98
GET      41.000        99.99
GET      44.000        99.99
GET      55.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          54.82          ---          ---      4.17300        56.98
Gets         219.21       538.99         9.05      3.50500       563.24
Waits          0.00          ---          ---      0.00000          ---
Totals       274.03       538.99         9.05      3.63900       620.22


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.15
SET       3.200         1.40
SET       3.300         5.75
SET       3.400        13.93
SET       3.500        24.84
SET       3.600        36.70
SET       3.700        45.30
SET       3.800        54.27
SET       3.900        61.23
SET       4.000        67.80
SET       4.100        72.82
SET       4.200        77.01
SET       4.300        80.09
SET       4.400        82.79
SET       4.500        84.55
SET       4.600        86.41
SET       4.700        87.56
SET       4.800        88.81
SET       4.900        90.18
SET       5.000        91.06
