1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          27.98          ---          ---      4.07800        29.09
Gets         279.80       275.15         4.65      3.15500       289.17
Waits          0.00          ---          ---      0.00000          ---
Totals       307.78       275.15         4.65      3.23900       318.26


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.12
SET       3.200         2.14
SET       3.300         6.37
SET       3.400        15.49
SET       3.500        26.50
SET       3.600        36.21
SET       3.700        45.74
SET       3.800        54.68
SET       3.900        61.64
SET       4.000        68.14
SET       4.100        73.67
SET       4.200        77.55
SET       4.300        81.48
SET       4.400        84.51
SET       4.500        86.78
SET       4.600        88.74
SET       4.700        90.05
SET       4.800        91.19
SET       4.900        92.20
SET       5.000        93.09
SET       5.100        93.69
SET       5.200        94.10
SET       5.300        94.58
SET       5.400        94.88
SET       5.500        95.29
SET       5.600        95.53
SET       5.700        95.95
SET       5.800        96.25
SET       5.900        96.55
SET       6.000        96.96
SET       6.100        97.02
SET       6.200        97.08
SET       6.300        97.20
SET       6.400        97.38
SET       6.500        97.50
SET       6.600        97.68
SET       6.700        97.80
SET       6.800        97.92
SET       6.900        98.09
SET       7.100        98.21
SET       7.200        98.33
SET       7.300        98.39
SET       7.400        98.51
SET       7.500        98.57
SET       7.600        98.63
SET       7.700        98.69
SET       7.800        98.81
SET       7.900        98.99
SET       8.100        99.05
SET       8.300        99.11
SET       8.700        99.17
SET       8.800        99.23
SET       9.000        99.29
SET       9.100        99.34
SET       9.200        99.40
SET       9.500        99.52
SET      11.000        99.58
SET      13.000        99.64
SET      15.000        99.70
SET      18.000        99.76
SET      26.000        99.88
SET      32.000        99.94
SET      35.000       100.00
---
GET       1.700         0.17
GET       1.800         1.19
GET       1.900         3.98
GET       2.000         8.62
GET       2.100        13.74
GET       2.200        18.38
GET       2.300        22.39
GET       2.400        25.64
GET       2.500        28.80
GET       2.600        31.31
GET       2.700        33.47
GET       2.800        35.37
GET       2.900        38.03
GET       3.000        43.08
GET       3.100        49.60
GET       3.200        56.25
GET       3.300        62.80
GET       3.400        68.74
GET       3.500        74.36
GET       3.600        78.87
GET       3.700        82.76
GET       3.800        85.75
GET       3.900        88.23
GET       4.000        90.64
GET       4.100        92.17
GET       4.200        93.23
GET       4.300        94.23
GET       4.400        95.03
GET       4.500        95.74
GET       4.600        96.39
GET       4.700        96.83
GET       4.800        97.05
GET       4.900        97.30
GET       5.000        97.54
GET       5.100        97.72
GET       5.200        97.83
GET       5.300        97.98
GET       5.400        98.09
GET       5.500        98.21
GET       5.600        98.32
GET       5.700        98.46
GET       5.800        98.49
GET       5.900        98.55
GET       6.000        98.65
GET       6.100        98.73
GET       6.200        98.81
GET       6.300        98.86
GET       6.400        98.91
GET       6.500        98.98
GET       6.600        99.08
GET       6.700        99.12
GET       6.800        99.18
GET       6.900        99.24
GET       7.000        99.26
GET       7.100        99.31
GET       7.200        99.33
GET       7.300        99.36
GET       7.400        99.39
GET       7.500        99.42
GET       7.600        99.44
GET       7.700        99.46
GET       7.800        99.46
GET       7.900        99.51
GET       8.000        99.53
GET       8.100        99.55
GET       8.200        99.55
GET       8.300        99.56
GET       8.400        99.58
GET       8.600        99.58
GET       8.700        99.59
GET       8.800        99.62
GET       8.900        99.64
GET       9.100        99.65
GET       9.200        99.67
GET       9.300        99.71
GET       9.400        99.73
GET       9.500        99.74
GET       9.600        99.75
GET       9.700        99.77
GET       9.800        99.77
GET       9.900        99.78
GET      10.000        99.82
GET      11.000        99.89
GET      13.000        99.91
GET      17.000        99.92
GET      18.000        99.94
GET      19.000        99.95
GET      22.000        99.96
GET      25.000        99.97
GET      28.000        99.98
GET      32.000        99.99
GET      35.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          56.45          ---          ---      4.04200        58.68
Gets         225.78       555.22         9.25      3.40500       580.19
Waits          0.00          ---          ---      0.00000          ---
Totals       282.23       555.22         9.25      3.53200       638.87


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.38
SET       3.200         2.04
SET       3.300         6.61
SET       3.400        14.44
SET       3.500        24.09
SET       3.600        34.46
SET       3.700        44.88
SET       3.800        53.23
SET       3.900        61.53
SET       4.000        68.82
SET       4.100        74.05
SET       4.200        78.21
SET       4.300        81.67
SET       4.400        84.85
SET       4.500        87.13
SET       4.600        88.84
SET       4.700        90.55
SET       4.800        92.03
SET       4.900        93.09
SET       5.000        94.12
SET       5.100        94.60
SET       5.200        95.31
SET       5.300        95.57
SET       5.400        95.96
SET       5.500        96.16
SET       5.600        96.31
SET       5.700        96.46
SET       5.800        96.69
SET       5.900        96.78
SET       6.000        96.96
SET       6.100        97.17
SET       6.200        97.28
SET       6.300        97.31
SET       6.400        97.43
SET       6.500        97.52
SET       6.600        97.67
SET       6.700        97.73
SET       6.800        97.76
SET       6.900        97.90
SET       7.000        97.93
SET       7.100        98.05
SET       7.200        98.20
SET       7.400        98.26
SET       7.500        98.35
SET       7.600        98.44
SET       7.700        98.58
SET       7.800        98.64
SET       7.900        98.70
SET       8.000        98.76
SET       8.100        98.91
SET       8.400        99.03
SET       8.500        99.06
SET       8.600        99.14
SET       8.800        99.20
SET       8.900        99.23
SET       9.000        99.26
SET       9.100        99.29
SET       9.700        99.32
SET       9.800        99.35
SET       9.900        99.38
SET      10.000        99.56
SET      11.000        99.70
SET      12.000        99.79
SET      13.000        99.88
SET      14.000        99.91
SET      20.000        99.94
SET      23.000        99.97
SET      42.000       100.00
---
GET       1.700         0.01
GET       1.800         0.30
GET       1.900         1.11
GET       2.000         3.36
GET       2.100         6.98
GET       2.200        10.83
GET       2.300        14.68
GET       2.400        17.66
GET       2.500        20.23
GET       2.600        22.45
GET       2.700        24.08
GET       2.800        25.84
GET       2.900        27.60
GET       3.000        30.80
GET       3.100        34.90
GET       3.200        40.63
GET       3.300        47.38
GET       3.400        54.45
GET       3.500        61.11
GET       3.600        67.12
GET       3.700        72.29
GET       3.800        76.77
GET       3.900        80.87
GET       4.000        84.91
GET       4.100        87.62
GET       4.200        89.79
GET       4.300        91.36
GET       4.400        92.75
GET       4.500        93.65
GET       4.600        94.35
GET       4.700        95.07
GET       4.800        95.64
GET       4.900        96.19
GET       5.000        96.63
GET       5.100        96.90
GET       5.200        97.10
GET       5.300        97.29
GET       5.400        97.42
GET       5.500        97.56
GET       5.600        97.73
GET       5.700        97.87
GET       5.800        98.00
GET       5.900        98.13
GET       6.000        98.18
GET       6.100        98.29
GET       6.200        98.38
GET       6.300        98.46
GET       6.400        98.56
GET       6.500        98.63
GET       6.600        98.72
GET       6.700        98.76
GET       6.800        98.81
GET       6.900        98.85
GET       7.000        98.92
GET       7.100        98.96
GET       7.200        99.01
GET       7.300        99.05
GET       7.400        99.08
GET       7.500        99.11
GET       7.600        99.14
GET       7.700        99.17
GET       7.800        99.19
GET       7.900        99.22
GET       8.000        99.28
GET       8.100        99.34
GET       8.200        99.39
GET       8.300        99.44
GET       8.400        99.47
GET       8.500        99.50
GET       8.600        99.51
GET       8.700        99.53
GET       8.800        99.53
GET       8.900        99.57
GET       9.000        99.58
GET       9.100        99.59
GET       9.200        99.63
