1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          28.07          ---          ---      3.98600        29.17
Gets         280.48       275.43         5.05      3.15600       289.48
Waits          0.00          ---          ---      0.00000          ---
Totals       308.55       275.43         5.05      3.23100       318.65


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000         0.06
SET       3.100         0.30
SET       3.200         2.85
SET       3.300         8.31
SET       3.400        18.23
SET       3.500        28.38
SET       3.600        38.90
SET       3.700        48.28
SET       3.800        57.13
SET       3.900        65.14
SET       4.000        73.16
SET       4.100        79.10
SET       4.200        82.78
SET       4.300        85.75
SET       4.400        87.83
SET       4.500        89.55
SET       4.600        91.33
SET       4.700        92.40
SET       4.800        92.87
SET       4.900        93.82
SET       5.000        94.36
SET       5.100        94.83
SET       5.200        95.07
SET       5.300        95.43
SET       5.400        95.72
SET       5.500        95.90
SET       5.600        96.14
SET       5.700        96.32
SET       5.800        96.62
SET       5.900        96.79
SET       6.000        97.09
SET       6.100        97.21
SET       6.200        97.27
SET       6.300        97.45
SET       6.400        97.68
SET       6.500        97.74
SET       6.600        97.86
SET       6.700        97.98
SET       6.800        98.16
SET       6.900        98.22
SET       7.000        98.40
SET       7.400        98.57
SET       7.500        98.75
SET       7.600        98.87
SET       8.000        98.99
SET       8.300        99.05
SET       8.400        99.11
SET       8.800        99.17
SET       9.100        99.23
SET       9.500        99.35
SET       9.900        99.47
SET      10.000        99.58
SET      11.000        99.70
SET      12.000        99.76
SET      13.000        99.82
SET      17.000        99.88
SET      25.000        99.94
SET      26.000       100.00
---
GET       1.600         0.01
GET       1.700         0.16
GET       1.800         1.28
GET       1.900         4.07
GET       2.000         8.96
GET       2.100        14.41
GET       2.200        19.27
GET       2.300        23.68
GET       2.400        26.93
GET       2.500        29.65
GET       2.600        31.98
GET       2.700        33.79
GET       2.800        35.41
GET       2.900        38.08
GET       3.000        42.51
GET       3.100        48.24
GET       3.200        55.09
GET       3.300        61.70
GET       3.400        68.00
GET       3.500        73.73
GET       3.600        78.29
GET       3.700        82.12
GET       3.800        85.59
GET       3.900        88.12
GET       4.000        90.51
GET       4.100        92.17
GET       4.200        93.34
GET       4.300        94.25
GET       4.400        95.04
GET       4.500        95.69
GET       4.600        96.29
GET       4.700        96.77
GET       4.800        97.01
GET       4.900        97.28
GET       5.000        97.54
GET       5.100        97.75
GET       5.200        97.90
GET       5.300        98.00
GET       5.400        98.15
GET       5.500        98.26
GET       5.600        98.32
GET       5.700        98.39
GET       5.800        98.48
GET       5.900        98.54
GET       6.000        98.62
GET       6.100        98.69
GET       6.200        98.74
GET       6.300        98.84
GET       6.400        98.88
GET       6.500        98.95
GET       6.600        99.01
GET       6.700        99.08
GET       6.800        99.11
GET       6.900        99.17
GET       7.000        99.19
GET       7.100        99.21
GET       7.200        99.26
GET       7.300        99.32
GET       7.400        99.36
GET       7.500        99.41
GET       7.600        99.48
GET       7.700        99.49
GET       7.800        99.51
GET       7.900        99.52
GET       8.000        99.55
GET       8.100        99.58
GET       8.200        99.59
GET       8.500        99.62
GET       8.600        99.63
GET       8.700        99.65
GET       8.800        99.66
GET       8.900        99.69
GET       9.100        99.69
GET       9.400        99.71
GET       9.500        99.71
GET       9.600        99.72
GET       9.700        99.73
GET       9.800        99.74
GET      10.000        99.79
GET      11.000        99.85
GET      12.000        99.89
GET      13.000        99.92
GET      14.000        99.93
GET      15.000        99.93
GET      16.000        99.94
GET      18.000        99.95
GET      19.000        99.95
GET      22.000        99.96
GET      24.000        99.97
GET      25.000        99.98
GET      28.000        99.98
GET      32.000        99.99
GET      38.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          56.23          ---          ---      4.11600        58.45
Gets         224.88       552.30         9.90      3.40400       577.15
Waits          0.00          ---          ---      0.00000          ---
Totals       281.11       552.30         9.90      3.54700       635.60


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.100         0.15
SET       3.200         1.48
SET       3.300         5.39
SET       3.400        12.95
SET       3.500        21.34
SET       3.600        31.12
SET       3.700        39.92
SET       3.800        48.70
SET       3.900        57.17
SET       4.000        64.97
SET       4.100        71.55
SET       4.200        76.53
SET       4.300        79.73
SET       4.400        82.57
SET       4.500        85.30
SET       4.600        87.26
SET       4.700        89.42
SET       4.800        90.81
SET       4.900        92.38
SET       5.000        93.42
SET       5.100        94.10
SET       5.200        94.55
SET       5.300        94.90
SET       5.400        95.35
SET       5.500        95.52
SET       5.600        95.70
SET       5.700        95.91
SET       5.800        96.15
SET       5.900        96.32
SET       6.000        96.53
SET       6.100        96.74
SET       6.200        96.89
SET       6.300        97.04
SET       6.500        97.07
SET       6.600        97.18
SET       6.700        97.24
SET       6.800        97.36
SET       6.900        97.51
SET       7.000        97.66
SET       7.100        97.81
SET       7.200        97.90
SET       7.300        97.93
SET       7.400        98.01
SET       7.500        98.19
SET       7.600        98.25
SET       7.700        98.28
SET       7.800        98.34
SET       7.900        98.37
SET       8.000        98.43
SET       8.100        98.61
SET       8.200        98.67
SET       8.300        98.70
SET       8.400        98.73
SET       8.500        98.78
SET       8.600        98.84
SET       8.700        98.87
SET       8.800        98.93
SET       9.000        98.96
SET       9.100        99.02
SET       9.200        99.08
SET       9.300        99.11
SET       9.400        99.14
SET       9.500        99.26
SET       9.600        99.29
SET       9.700        99.35
SET       9.900        99.41
SET      10.000        99.56
SET      11.000        99.73
SET      12.000        99.82
SET      15.000        99.88
SET      20.000        99.91
SET      23.000        99.94
SET      38.000        99.97
SET      64.000       100.00
---
GET       1.700         0.04
GET       1.800         0.35
GET       1.900         1.46
GET       2.000         4.06
GET       2.100         7.66
GET       2.200        11.69
GET       2.300        15.34
GET       2.400        18.50
GET       2.500        20.88
GET       2.600        22.98
GET       2.700        24.76
GET       2.800        26.37
GET       2.900        28.17
GET       3.000        31.22
GET       3.100        35.27
GET       3.200        40.51
GET       3.300        46.62
GET       3.400        53.21
GET       3.500        59.84
GET       3.600        65.36
GET       3.700        70.98
GET       3.800        75.86
GET       3.900        80.07
GET       4.000        84.42
GET       4.100        87.70
GET       4.200        90.06
GET       4.300        91.88
GET       4.400        93.11
GET       4.500        94.01
GET       4.600        94.76
GET       4.700        95.41
GET       4.800        95.89
GET       4.900        96.35
GET       5.000        96.72
GET       5.100        97.01
GET       5.200        97.26
GET       5.300        97.37
GET       5.400        97.52
GET       5.500        97.68
GET       5.600        97.78
GET       5.700        97.87
GET       5.800        97.98
GET       5.900        98.07
GET       6.000        98.16
GET       6.100        98.27
GET       6.200        98.34
GET       6.300        98.41
GET       6.400        98.50
GET       6.500        98.54
GET       6.600        98.64
GET       6.700        98.70
GET       6.800        98.78
GET       6.900        98.81
GET       7.000        98.89
GET       7.100        98.95
GET       7.200        99.01
GET       7.300        99.06
GET       7.400        99.08
GET       7.500        99.12
GET       7.600        99.16
GET       7.700        99.18
GET       7.800        99.21
GET       7.900        99.23
GET       8.000        99.26
GET       8.100        99.27
GET       8.200        99.30
GET       8.300        99.33
GET       8.400        99.33
GET       8.500        99.34
GET       8.600        99.36
GET       8.700        99.40
GET       8.800        99.43
GET       8.900        99.44
GET       9.000        99.46
GET       9.100        99.48
GET       9.200        99.50
GET       9.300        99.53
GET       9.400        99.56
GET       9.500        99.58
GET       9.600        99.61
GET       9.700        99.64
GET       9.800        99.66
GET       9.900        99.68
GET      10.000        99.81
GET      11.000        99.86
GET      12.000        99.90
GET      13.000        99.93
GET      14.000        99.94
GET      15.000        99.95
GET      17.000        99.96
GET      18.000        99.96
GET      24.000        99.97
GET      25.000        99.98
GET      26.000        99.99
GET      29.000       100.00
---
1         Threads
1         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          90.73          ---          ---      4.07000        94.31
Gets         181.46       891.42        15.88      3.46000       929.76
Waits          0.00          ---          ---      0.00000          ---
Totals       272.19       891.42        15.88      3.66300      1024.07


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000         0.02
SET       3.100         0.44
SET       3.200         2.59
SET       3.300         8.23
SET       3.400        17.56
SET       3.500        27.76
SET       3.600        38.39
SET       3.700        47.08
SET       3.800        55.80
SET       3.900        63.68
SET       4.000        70.78
SET       4.100        75.81
SET       4.200        80.29
SET       4.300        83.60
SET       4.400        86.17
SET       4.500        88.10
SET       4.600        89.58
SET       4.700        90.83
SET       4.800        91.84
SET       4.900        92.69
SET       5.000        93.33
SET       5.100        93.88
SET       5.200        94.40
SET       5.300        94.75
SET       5.400        95.11
SET       5.500        95.28
SET       5.600        95.54
SET       5.700        95.72
SET       5.800        96.00
SET       5.900        96.16
SET       6.000        96.36
SET       6.100        96.51
SET       6.200        96.64
SET       6.300        96.75
SET       6.400        96.97
SET       6.500        97.06
SET       6.600        97.15
SET       6.700        97.21
SET       6.800        97.32
SET       6.900        97.41
SET       7.000        97.56
SET       7.100        97.70
SET       7.200        97.78
SET       7.300        97.85
SET       7.400        97.94
SET       7.500        97.96
SET       7.600        98.05
SET       7.700        98.13
SET       7.800        98.22
SET       7.900        98.29
SET       8.000        98.31
SET       8.100        98.35
SET       8.200        98.38
SET       8.300        98.44
SET       8.400        98.48
SET       8.600        98.49
SET       8.700        98.51
SET       8.800        98.55
SET       8.900        98.59
SET       9.000        98.62
SET       9.100        98.68
SET       9.200        98.71
SET       9.300        98.75
SET       9.400        98.82
SET       9.500        98.88
SET       9.600        98.93
SET       9.700        98.97
SET       9.800        99.01
SET       9.900        99.04
SET      10.000        99.25
SET      11.000        99.41
SET      12.000        99.50
SET      13.000        99.54
SET      14.000        99.60
SET      15.000        99.65
SET      16.000        99.69
SET      17.000        99.72
SET      18.000        99.74
SET      20.000        99.78
SET      21.000        99.82
SET      22.000        99.85
SET      23.000        99.87
SET      24.000        99.89
SET      25.000        99.93
SET      26.000        99.94
SET      29.000        99.96
SET      34.000        99.98
SET      35.000       100.00
---
GET       1.800         0.06
GET       1.900         0.72
GET       2.000         2.71
GET       2.100         6.09
GET       2.200        10.24
GET       2.300        14.57
GET       2.400        18.27
GET       2.500        21.45
GET       2.600        23.89
GET       2.700        25.91
GET       2.800        27.67
GET       2.900        29.21
GET       3.000        31.40
GET       3.100        34.28
GET       3.200        38.21
GET       3.300        43.22
GET       3.400        49.54
GET       3.500        55.95
GET       3.600        62.32
GET       3.700        68.46
GET       3.800        73.46
GET       3.900        78.02
GET       4.000        82.26
GET       4.100        85.65
GET       4.200        88.09
GET       4.300        90.08
GET       4.400        91.61
GET       4.500        92.87
GET       4.600        93.69
GET       4.700        94.59
GET       4.800        95.21
GET       4.900        95.71
GET       5.000        96.17
GET       5.100        96.61
GET       5.200        96.87
GET       5.300        97.00
GET       5.400        97.15
GET       5.500        97.38
GET       5.600        97.57
GET       5.700        97.68
GET       5.800        97.75
GET       5.900        97.86
GET       6.000        97.99
GET       6.100        98.05
GET       6.200        98.15
GET       6.300        98.24
GET       6.400        98.30
GET       6.500        98.38
GET       6.600        98.48
GET       6.700        98.57
GET       6.800        98.64
GET       6.900        98.72
GET       7.000        98.80
GET       7.100        98.84
GET       7.200        98.93
GET       7.300        98.96
GET       7.400        99.03
GET       7.500        99.04
GET       7.600        99.07
GET       7.700        99.10
GET       7.800        99.12
GET       7.900        99.19
GET       8.000        99.25
GET       8.100        99.28
GET       8.200        99.30
GET       8.300        99.33
GET       8.400        99.37
GET       8.500        99.38
GET       8.600        99.39
GET       8.700        99.41
GET       8.800        99.42
GET       8.900        99.43
