Configuration : nrThreads: 64 ,nrServers: 1 ,read sharded: true
Times in queue ,2587231.84,1.221502123076923E7
Parsing times ,4907.52,5229.884615384615
Service times ,4890817.66,5157713.653846154
Throughput ,12791.86,12275.01923076923
Times in get ,0.0,0.0
Times in set ,4884061.32,5150152.346153846
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,0.0,0.0
Number of sets ,12791.86,12275.01923076923
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,12790.44,12273.192307692309
std Times in queue ,330251.7679129778,2286381.5481254254
std Parsing times ,1410.5712873636319,1345.6306146677928
std Service times ,481229.69641273626,513597.1295567917
std Throughput ,998.9534117142352,1068.5458047635711
std Times in get ,0.0,0.0
std Times in set ,481009.595637387,513691.35535962763
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,0.0,0.0
std Number of sets ,998.9534117142352,1068.5458047635711
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,1003.5157007404782,1074.1197223675226
Thread 0 ,4884215.28,5109618.788461538
Thread std 0 ,526940.2014832285,537272.172142791
Thread 1 ,4893430.92,5176965.75
Thread std 1 ,509160.9711796513,581154.7466316565
Thread 2 ,4915153.96,5227415.692307692
Thread std 2 ,524761.5941203714,658879.9982625757
Thread 3 ,4863848.52,5186107.903846154
Thread std 3 ,502721.4670320605,613745.8246673761
Thread 4 ,4936113.58,5115837.769230769
Thread std 4 ,525050.2328903081,543781.733611343
Thread 5 ,4892644.44,5200977.076923077
Thread std 5 ,578189.5968602996,558471.9972462271
Thread 6 ,4934533.5,5173310.980769231
Thread std 6 ,575234.5321943627,588069.0733371609
Thread 7 ,4878768.92,5162714.153846154
Thread std 7 ,483519.9029222186,577190.9912442714
Thread 8 ,4895255.5,5166685.461538462
Thread std 8 ,556061.1367366974,596617.5605006145
Thread 9 ,4870042.82,5187415.673076923
Thread std 9 ,518111.25287767797,624263.2680980514
Thread 10 ,4919328.44,5165688.769230769
Thread std 10 ,570722.5414091302,527470.3003741245
Thread 11 ,4946526.8,5195706.769230769
Thread std 11 ,445617.0266236903,644411.10189432
Thread 12 ,4905365.96,5110202.192307692
Thread std 12 ,494354.5865830645,566020.7495455615
Thread 13 ,4901233.1,5162575.846153846
Thread std 13 ,562005.2464954198,523259.59919405304
Thread 14 ,4877816.38,5167289.153846154
Thread std 14 ,534471.0712850294,629553.3574795235
Thread 15 ,4859489.36,5189506.115384615
Thread std 15 ,464214.03872399114,579568.6264963357
Thread 16 ,4879782.56,5180337.365384615
Thread std 16 ,485449.6473689725,570141.304924164
Thread 17 ,4911548.06,5102019.538461538
Thread std 17 ,538700.2896463276,513523.37162928464
Thread 18 ,4937776.32,5196485.480769231
Thread std 18 ,524590.6502034467,613117.5978712337
Thread 19 ,4971283.18,5237778.461538462
Thread std 19 ,478605.93568560923,566407.1486410676
Thread 20 ,4918338.54,5141914.365384615
Thread std 20 ,479118.07810137956,592331.9731318541
Thread 21 ,4911423.9,5167334.826923077
Thread std 21 ,489787.67947714037,620109.8775080492
Thread 22 ,4870951.82,5125432.25
