Configuration : nrThreads: 64 ,nrServers: 1 ,read sharded: true
Times in queue ,2452519.092592593,1.1744941442307692E7
Parsing times ,4230.444444444444,5154.038461538462
Service times ,4750480.611111111,4938088.75
Throughput ,12025.981481481482,12851.0
Times in get ,0.0,0.0
Times in set ,4744459.37037037,4930718.519230769
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,0.0,0.0
Number of sets ,12025.981481481482,12851.0
Number of mgets ,0.0,0.0
Number of misses get ,0.0,0.0
Arrival rate ,12025.833333333334,12848.846153846154
std Times in queue ,709732.0675685062,2418277.472407309
std Parsing times ,1032.946722158316,966.1684374228423
std Service times ,661581.1949660697,666996.9955080603
std Throughput ,2846.680877534136,1313.369517765689
std Times in get ,0.0,0.0
std Times in set ,661274.7039840124,666747.3290842932
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,0.0,0.0
std Number of sets ,2846.680877534136,1313.369517765689
std Number of mgets ,0.0,0.0
std Number of misses get ,0.0,0.0
std Arrival rate ,2849.1314250765076,1327.8658446384807
Thread 0 ,4726315.87037037,4956855.192307692
Thread std 0 ,689561.6555922019,695927.5190147894
Thread 1 ,4766020.037037037,5020247.115384615
Thread std 1 ,690935.2439346378,724792.5462581136
Thread 2 ,4725190.203703703,5000256.557692308
Thread std 2 ,680375.3561265123,766191.9901692949
Thread 3 ,4798936.87037037,4958825.634615385
Thread std 3 ,681776.2171303206,769954.967550701
Thread 4 ,4743893.240740741,5009920.673076923
Thread std 4 ,714088.6845402416,682540.4899612175
Thread 5 ,4766262.907407408,4983543.653846154
Thread std 5 ,709578.5505533593,670150.9630687374
Thread 6 ,4764408.203703703,4962861.153846154
Thread std 6 ,695293.1240911215,720485.0414436202
Thread 7 ,4764102.685185186,4976726.980769231
Thread std 7 ,667035.9015013579,683920.7607356821
Thread 8 ,4724088.981481481,4955370.192307692
Thread std 8 ,697906.8001600237,702989.2814560125
Thread 9 ,4701115.222222222,4893122.865384615
Thread std 9 ,630608.6719051881,733805.1836828657
Thread 10 ,4723721.462962963,4987465.826923077
Thread std 10 ,662864.0412145975,697903.9548519475
Thread 11 ,4756038.185185186,4861370.615384615
Thread std 11 ,711964.1127139812,688998.4124376017
Thread 12 ,4755536.407407408,4974477.115384615
Thread std 12 ,688015.1048233435,694463.6265434134
Thread 13 ,4772286.37037037,4939952.019230769
