Configuration : nrThreads: 64 ,nrServers: 1 ,read sharded: true
Times in queue ,3193574.0196078434,1.3547814980392156E7
Parsing times ,4274.313725490196,4834.78431372549
Service times ,5478453.882352941,5529223.823529412
Throughput ,11417.882352941177,11578.862745098038
Times in get ,5471772.137254902,5522009.509803922
Times in set ,0.0,0.0
Times in mget ,0.0,0.0
Times in mget only memcached part ,0.0,0.0
Number of gets ,11417.882352941177,11578.862745098038
Number of sets ,0.0,0.0
Number of mgets ,0.0,0.0
Number of misses get ,551.96,619.04
Arrival rate ,11416.627450980392,11576.333333333334
std Times in queue ,434556.54629843007,1497109.1370101045
std Parsing times ,1082.3900127069924,1676.9499612537697
std Service times ,645212.7694262305,270811.97611861303
std Throughput ,914.3305889460074,481.88741505077064
std Times in get ,641890.2035424132,270598.617854517
std Times in set ,0.0,0.0
std Times in mget ,0.0,0.0
std Times in mget only memcached part ,0.0,0.0
std Number of gets ,914.3305889460074,481.88741505077064
std Number of sets ,0.0,0.0
std Number of mgets ,0.0,0.0
std Number of misses get ,127.94369935280764,154.26202992814214
std Arrival rate ,914.7004309780182,485.6118065560873
Thread 0 ,5531799.784313725,5676979.607843137
Thread std 0 ,706511.513780386,456203.2997918835
Thread 1 ,5552391.019607843,5545260.333333333
Thread std 1 ,647737.263660861,400384.3358017228
Thread 2 ,5497386.725490196,5505094.039215687
Thread std 2 ,703938.0139481055,348722.13261644065
Thread 3 ,5495052.352941177,5543164.392156863
Thread std 3 ,653180.9433571014,450996.6712222643
Thread 4 ,5513594.196078432,5493626.333333333
Thread std 4 ,738745.627479744,386501.6638189113
Thread 5 ,5480682.647058823,5575019.9215686275
Thread std 5 ,659996.039367414,427332.8855506838
Thread 6 ,5454159.901960785,5564827.176470588
Thread std 6 ,694818.4963291709,398635.86912839167
Thread 7 ,5458958.725490196,5555802.137254902
Thread std 7 ,704993.8361678938,478766.4650061455
Thread 8 ,5562459.529411765,5593103.274509804
Thread std 8 ,696347.2586355561,482523.65511618514
Thread 9 ,5500235.490196078,5550009.352941177
